ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Itajaí,Inundações,0
1991,Ago,Itajaí,Inundações,0
1991,Dez,Itajaí,Inundações,0
1991,Fev,Itajaí,Inundações,0
1991,Jan,Itajaí,Inundações,0
1991,Jul,Itajaí,Inundações,0
1991,Jun,Itajaí,Inundações,0
1991,Mai,Itajaí,Inundações,0
1991,Mar,Itajaí,Inundações,0
1991,Nov,Itajaí,Inundações,0
1991,Out,Itajaí,Inundações,0
1991,Set,Itajaí,Inundações,0
1992,Abr,Itajaí,Inundações,0
1992,Ago,Itajaí,Inundações,0
1992,Dez,Itajaí,Inundações,0
1992,Fev,Itajaí,Inundações,0
1992,Jan,Itajaí,Inundações,0
1992,Jul,Itajaí,Inundações,0
1992,Jun,Itajaí,Inundações,0
1992,Mai,Itajaí,Inundações,0
1992,Mar,Itajaí,Inundações,0
1992,Nov,Itajaí,Inundações,0
1992,Out,Itajaí,Inundações,0
1992,Set,Itajaí,Inundações,0
1993,Abr,Itajaí,Inundações,0
1993,Ago,Itajaí,Inundações,0
1993,Dez,Itajaí,Inundações,0
1993,Fev,Itajaí,Inundações,0
1993,Jan,Itajaí,Inundações,0
1993,Jul,Itajaí,Inundações,0
1993,Jun,Itajaí,Inundações,0
1993,Mai,Itajaí,Inundações,0
1993,Mar,Itajaí,Inundações,0
1993,Nov,Itajaí,Inundações,0
1993,Out,Itajaí,Inundações,0
1993,Set,Itajaí,Inundações,0
1994,Abr,Itajaí,Inundações,0
1994,Ago,Itajaí,Inundações,0
1994,Dez,Itajaí,Inundações,0
1994,Fev,Itajaí,Inundações,0
1994,Jan,Itajaí,Inundações,0
1994,Jul,Itajaí,Inundações,0
1994,Jun,Itajaí,Inundações,0
1994,Mai,Itajaí,Inundações,0
1994,Mar,Itajaí,Inundações,0
1994,Nov,Itajaí,Inundações,0
1994,Out,Itajaí,Inundações,0
1994,Set,Itajaí,Inundações,0
1995,Abr,Itajaí,Inundações,0
1995,Ago,Itajaí,Inundações,0
1995,Dez,Itajaí,Inundações,0
1995,Fev,Itajaí,Inundações,0
1995,Jan,Itajaí,Inundações,0
1995,Jul,Itajaí,Inundações,0
