ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Itapema,Alagamentos,0
1991,Ago,Itapema,Alagamentos,0
1991,Dez,Itapema,Alagamentos,0
1991,Fev,Itapema,Alagamentos,0
1991,Jan,Itapema,Alagamentos,0
1991,Jul,Itapema,Alagamentos,0
1991,Jun,Itapema,Alagamentos,0
1991,Mai,Itapema,Alagamentos,0
1991,Mar,Itapema,Alagamentos,0
1991,Nov,Itapema,Alagamentos,0
1991,Out,Itapema,Alagamentos,0
1991,Set,Itapema,Alagamentos,0
1992,Abr,Itapema,Alagamentos,0
1992,Ago,Itapema,Alagamentos,0
1992,Dez,Itapema,Alagamentos,0
1992,Fev,Itapema,Alagamentos,0
1992,Jan,Itapema,Alagamentos,0
1992,Jul,Itapema,Alagamentos,0
1992,Jun,Itapema,Alagamentos,0
1992,Mai,Itapema,Alagamentos,0
1992,Mar,Itapema,Alagamentos,0
1992,Nov,Itapema,Alagamentos,0
1992,Out,Itapema,Alagamentos,0
1992,Set,Itapema,Alagamentos,0
1993,Abr,Itapema,Alagamentos,0
1993,Ago,Itapema,Alagamentos,0
1993,Dez,Itapema,Alagamentos,0
1993,Fev,Itapema,Alagamentos,0
1993,Jan,Itapema,Alagamentos,0
1993,Jul,Itapema,Alagamentos,0
1993,Jun,Itapema,Alagamentos,0
1993,Mai,Itapema,Alagamentos,0
1993,Mar,Itapema,Alagamentos,0
1993,Nov,Itapema,Alagamentos,0
1993,Out,Itapema,Alagamentos,0
1993,Set,Itapema,Alagamentos,0
1994,Abr,Itapema,Alagamentos,0
1994,Ago,Itapema,Alagamentos,0
1994,Dez,Itapema,Alagamentos,0
1994,Fev,Itapema,Alagamentos,0
1994,Jan,Itapema,Alagamentos,0
1994,Jul,Itapema,Alagamentos,0
1994,Jun,Itapema,Alagamentos,0
1994,Mai,Itapema,Alagamentos,0
1994,Mar,Itapema,Alagamentos,0
1994,Nov,Itapema,Alagamentos,0
1994,Out,Itapema,Alagamentos,0
1994,Set,Itapema,Alagamentos,0
1995,Abr,Itapema,Alagamentos,0
1995,Ago,Itapema,Alagamentos,0
1995,Dez,Itapema,Alagamentos,0
1995,Fev,Itapema,Alagamentos,0
1995,Jan,Itapema,Alagamentos,0
1995,Jul,Itapema,Alagamentos,0
1995,Jun,Itapema,Alagamentos,0
1995,Mai,Itapema,Alagamentos,0
1995,Mar,Itapema,Alagamentos,0
1995,Nov,Itapema,Alagamentos,0
1995,Out,Itapema,Alagamentos,0
1995,Set,Itapema,Alagamentos,0
1996,Abr,Itapema,Alagamentos,0
1996,Ago,Itapema,Alagamentos,0
1996,Dez,Itapema,Alagamentos,0
1996,Fev,Itapema,Alagamentos,0
1996,Jan,Itapema,Alagamentos,0
1996,Jul,Itapema,Alagamentos,0
1996,Jun,Itapema,Alagamentos,0
1996,Mai,Itapema,Alagamentos,0
1996,Mar,Itapema,Alagamentos,0
1996,Nov,Itapema,Alagamentos,0
1996,Out,Itapema,Alagamentos,0
1996,Set,Itapema,Alagamentos,0
1997,Abr,Itapema,Alagamentos,0
1997,Ago,Itapema,Alagamentos,0
1997,Dez,Itapema,Alagamentos,0
1997,Fev,Itapema,Alagamentos,0
1997,Jan,Itapema,Alagamentos,0
1997,Jul,Itapema,Alagamentos,0
1997,Jun,Itapema,Alagamentos,0
1997,Mai,Itapema,Alagamentos,0
1997,Mar,Itapema,Alagamentos,0
1997,Nov,Itapema,Alagamentos,0
1997,Out,Itapema,Alagamentos,0
1997,Set,Itapema,Alagamentos,0
1998,Abr,Itapema,Alagamentos,0
1998,Ago,Itapema,Alagamentos,0
1998,Dez,Itapema,Alagamentos,0
1998,Fev,Itapema,Alagamentos,0
1998,Jan,Itapema,Alagamentos,0
1998,Jul,Itapema,Alagamentos,0
1998,Jun,Itapema,Alagamentos,0
1998,Mai,Itapema,Alagamentos,0
1998,Mar,Itapema,Alagamentos,0
1998,Nov,Itapema,Alagamentos,0
1998,Out,Itapema,Alagamentos,0
1998,Set,Itapema,Alagamentos,0
1999,Abr,Itapema,Alagamentos,0
1999,Ago,Itapema,Alagamentos,0
1999,Dez,Itapema,Alagamentos,0
1999,Fev,Itapema,Alagamentos,0
1999,Jan,Itapema,Alagamentos,0
1999,Jul,Itapema,Alagamentos,0
1999,Jun,Itapema,Alagamentos,0
1999,Mai,Itapema,Alagamentos,0
1999,Mar,Itapema,Alagamentos,0
1999,Nov,Itapema,Alagamentos,0
1999,Out,Itapema,Alagamentos,0
1999,Set,Itapema,Alagamentos,0
2000,Abr,Itapema,Alagamentos,0
2000,Ago,Itapema,Alagamentos,0
2000,Dez,Itapema,Alagamentos,0
2000,Fev,Itapema,Alagamentos,0
2000,Jan,Itapema,Alagamentos,0
2000,Jul,Itapema,Alagamentos,0
2000,Jun,Itapema,Alagamentos,0
2000,Mai,Itapema,Alagamentos,0
2000,Mar,Itapema,Alagamentos,0
2000,Nov,Itapema,Alagamentos,0
2000,Out,Itapema,Alagamentos,0
2000,Set,Itapema,Alagamentos,0
2001,Abr,Itapema,Alagamentos,0
2001,Ago,Itapema,Alagamentos,0
2001,Dez,Itapema,Alagamentos,0
2001,Fev,Itapema,Alagamentos,0
2001,Jan,Itapema,Alagamentos,0
2001,Jul,Itapema,Alagamentos,0
2001,Jun,Itapema,Alagamentos,0
2001,Mai,Itapema,Alagamentos,0
2001,Mar,Itapema,Alagamentos,0
2001,Nov,Itapema,Alagamentos,0
2001,Out,Itapema,Alagamentos,0
2001,Set,Itapema,Alagamentos,0
2002,Abr,Itapema,Alagamentos,0
2002,Ago,Itapema,Alagamentos,0
2002,Dez,Itapema,Alagamentos,0
2002,Fev,Itapema,Alagamentos,0
2002,Jan,Itapema,Alagamentos,0
2002,Jul,Itapema,Alagamentos,0
2002,Jun,Itapema,Alagamentos,0
2002,Mai,Itapema,Alagamentos,0
2002,Mar,Itapema,Alagamentos,0
2002,Nov,Itapema,Alagamentos,0
2002,Out,Itapema,Alagamentos,0
2002,Set,Itapema,Alagamentos,0
2003,Abr,Itapema,Alagamentos,0
2003,Ago,Itapema,Alagamentos,0
2003,Dez,Itapema,Alagamentos,0
2003,Fev,Itapema,Alagamentos,0
2003,Jan,Itapema,Alagamentos,0
2003,Jul,Itapema,Alagamentos,0
2003,Jun,Itapema,Alagamentos,0
2003,Mai,Itapema,Alagamentos,0
2003,Mar,Itapema,Alagamentos,0
2003,Nov,Itapema,Alagamentos,0
2003,Out,Itapema,Alagamentos,0
2003,Set,Itapema,Alagamentos,0
2004,Abr,Itapema,Alagamentos,0
2004,Ago,Itapema,Alagamentos,0
2004,Dez,Itapema,Alagamentos,0
2004,Fev,Itapema,Alagamentos,0
2004,Jan,Itapema,Alagamentos,0
2004,Jul,Itapema,Alagamentos,0
2004,Jun,Itapema,Alagamentos,0
2004,Mai,Itapema,Alagamentos,0
2004,Mar,Itapema,Alagamentos,0
2004,Nov,Itapema,Alagamentos,0
2004,Out,Itapema,Alagamentos,0
2004,Set,Itapema,Alagamentos,0
2005,Abr,Itapema,Alagamentos,0
2005,Ago,Itapema,Alagamentos,0
2005,Dez,Itapema,Alagamentos,0
2005,Fev,Itapema,Alagamentos,0
2005,Jan,Itapema,Alagamentos,0
2005,Jul,Itapema,Alagamentos,0
2005,Jun,Itapema,Alagamentos,0
2005,Mai,Itapema,Alagamentos,0
2005,Mar,Itapema,Alagamentos,0
2005,Nov,Itapema,Alagamentos,0
2005,Out,Itapema,Alagamentos,0
2005,Set,Itapema,Alagamentos,0
2006,Abr,Itapema,Alagamentos,0
2006,Ago,Itapema,Alagamentos,0
2006,Dez,Itapema,Alagamentos,0
2006,Fev,Itapema,Alagamentos,0
2006,Jan,Itapema,Alagamentos,0
2006,Jul,Itapema,Alagamentos,0
2006,Jun,Itapema,Alagamentos,0
2006,Mai,Itapema,Alagamentos,0
2006,Mar,Itapema,Alagamentos,0
2006,Nov,Itapema,Alagamentos,0
2006,Out,Itapema,Alagamentos,0
2006,Set,Itapema,Alagamentos,0
2007,Abr,Itapema,Alagamentos,0
2007,Ago,Itapema,Alagamentos,0
2007,Dez,Itapema,Alagamentos,0
2007,Fev,Itapema,Alagamentos,0
2007,Jan,Itapema,Alagamentos,0
2007,Jul,Itapema,Alagamentos,0
2007,Jun,Itapema,Alagamentos,0
2007,Mai,Itapema,Alagamentos,0
2007,Mar,Itapema,Alagamentos,0
2007,Nov,Itapema,Alagamentos,0
2007,Out,Itapema,Alagamentos,0
2007,Set,Itapema,Alagamentos,0
2008,Abr,Itapema,Alagamentos,0
2008,Ago,Itapema,Alagamentos,0
2008,Dez,Itapema,Alagamentos,0
2008,Fev,Itapema,Alagamentos,0
2008,Jan,Itapema,Alagamentos,0
2008,Jul,Itapema,Alagamentos,0
