ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Itapema,Chuvas Intensas,0
1991,Ago,Itapema,Chuvas Intensas,0
1991,Dez,Itapema,Chuvas Intensas,0
1991,Fev,Itapema,Chuvas Intensas,0
1991,Jan,Itapema,Chuvas Intensas,0
1991,Jul,Itapema,Chuvas Intensas,0
1991,Jun,Itapema,Chuvas Intensas,0
1991,Mai,Itapema,Chuvas Intensas,0
1991,Mar,Itapema,Chuvas Intensas,0
1991,Nov,Itapema,Chuvas Intensas,0
1991,Out,Itapema,Chuvas Intensas,0
1991,Set,Itapema,Chuvas Intensas,0
1992,Abr,Itapema,Chuvas Intensas,0
1992,Ago,Itapema,Chuvas Intensas,0
1992,Dez,Itapema,Chuvas Intensas,0
1992,Fev,Itapema,Chuvas Intensas,0
1992,Jan,Itapema,Chuvas Intensas,0
1992,Jul,Itapema,Chuvas Intensas,0
1992,Jun,Itapema,Chuvas Intensas,0
1992,Mai,Itapema,Chuvas Intensas,0
1992,Mar,Itapema,Chuvas Intensas,0
1992,Nov,Itapema,Chuvas Intensas,0
1992,Out,Itapema,Chuvas Intensas,0
1992,Set,Itapema,Chuvas Intensas,0
1993,Abr,Itapema,Chuvas Intensas,0
1993,Ago,Itapema,Chuvas Intensas,0
1993,Dez,Itapema,Chuvas Intensas,0
1993,Fev,Itapema,Chuvas Intensas,0
1993,Jan,Itapema,Chuvas Intensas,0
1993,Jul,Itapema,Chuvas Intensas,0
1993,Jun,Itapema,Chuvas Intensas,0
1993,Mai,Itapema,Chuvas Intensas,0
1993,Mar,Itapema,Chuvas Intensas,0
1993,Nov,Itapema,Chuvas Intensas,0
1993,Out,Itapema,Chuvas Intensas,0
1993,Set,Itapema,Chuvas Intensas,0
1994,Abr,Itapema,Chuvas Intensas,0
1994,Ago,Itapema,Chuvas Intensas,0
1994,Dez,Itapema,Chuvas Intensas,0
1994,Fev,Itapema,Chuvas Intensas,0
1994,Jan,Itapema,Chuvas Intensas,0
1994,Jul,Itapema,Chuvas Intensas,0
1994,Jun,Itapema,Chuvas Intensas,0
1994,Mai,Itapema,Chuvas Intensas,0
1994,Mar,Itapema,Chuvas Intensas,0
1994,Nov,Itapema,Chuvas Intensas,0
1994,Out,Itapema,Chuvas Intensas,0
1994,Set,Itapema,Chuvas Intensas,0
1995,Abr,Itapema,Chuvas Intensas,0
1995,Ago,Itapema,Chuvas Intensas,0
1995,Dez,Itapema,Chuvas Intensas,0
1995,Fev,Itapema,Chuvas Intensas,0
1995,Jan,Itapema,Chuvas Intensas,0
1995,Jul,Itapema,Chuvas Intensas,0
1995,Jun,Itapema,Chuvas Intensas,0
1995,Mai,Itapema,Chuvas Intensas,0
1995,Mar,Itapema,Chuvas Intensas,0
1995,Nov,Itapema,Chuvas Intensas,0
1995,Out,Itapema,Chuvas Intensas,0
1995,Set,Itapema,Chuvas Intensas,0
1996,Abr,Itapema,Chuvas Intensas,0
1996,Ago,Itapema,Chuvas Intensas,0
1996,Dez,Itapema,Chuvas Intensas,0
1996,Fev,Itapema,Chuvas Intensas,0
1996,Jan,Itapema,Chuvas Intensas,0
1996,Jul,Itapema,Chuvas Intensas,0
1996,Jun,Itapema,Chuvas Intensas,0
1996,Mai,Itapema,Chuvas Intensas,0
1996,Mar,Itapema,Chuvas Intensas,0
1996,Nov,Itapema,Chuvas Intensas,0
1996,Out,Itapema,Chuvas Intensas,0
1996,Set,Itapema,Chuvas Intensas,0
1997,Abr,Itapema,Chuvas Intensas,0
1997,Ago,Itapema,Chuvas Intensas,0
1997,Dez,Itapema,Chuvas Intensas,0
1997,Fev,Itapema,Chuvas Intensas,0
1997,Jan,Itapema,Chuvas Intensas,0
1997,Jul,Itapema,Chuvas Intensas,0
1997,Jun,Itapema,Chuvas Intensas,0
1997,Mai,Itapema,Chuvas Intensas,0
1997,Mar,Itapema,Chuvas Intensas,0
1997,Nov,Itapema,Chuvas Intensas,0
1997,Out,Itapema,Chuvas Intensas,0
1997,Set,Itapema,Chuvas Intensas,0
1998,Abr,Itapema,Chuvas Intensas,0
1998,Ago,Itapema,Chuvas Intensas,0
1998,Dez,Itapema,Chuvas Intensas,0
1998,Fev,Itapema,Chuvas Intensas,0
1998,Jan,Itapema,Chuvas Intensas,0
1998,Jul,Itapema,Chuvas Intensas,0
1998,Jun,Itapema,Chuvas Intensas,0
1998,Mai,Itapema,Chuvas Intensas,0
1998,Mar,Itapema,Chuvas Intensas,0
1998,Nov,Itapema,Chuvas Intensas,0
1998,Out,Itapema,Chuvas Intensas,0
1998,Set,Itapema,Chuvas Intensas,0
1999,Abr,Itapema,Chuvas Intensas,0
1999,Ago,Itapema,Chuvas Intensas,0
1999,Dez,Itapema,Chuvas Intensas,0
1999,Fev,Itapema,Chuvas Intensas,0
1999,Jan,Itapema,Chuvas Intensas,0
1999,Jul,Itapema,Chuvas Intensas,0
1999,Jun,Itapema,Chuvas Intensas,0
1999,Mai,Itapema,Chuvas Intensas,0
1999,Mar,Itapema,Chuvas Intensas,0
1999,Nov,Itapema,Chuvas Intensas,0
1999,Out,Itapema,Chuvas Intensas,0
1999,Set,Itapema,Chuvas Intensas,0
2000,Abr,Itapema,Chuvas Intensas,0
2000,Ago,Itapema,Chuvas Intensas,0
2000,Dez,Itapema,Chuvas Intensas,0
2000,Fev,Itapema,Chuvas Intensas,0
2000,Jan,Itapema,Chuvas Intensas,0
2000,Jul,Itapema,Chuvas Intensas,0
2000,Jun,Itapema,Chuvas Intensas,0
2000,Mai,Itapema,Chuvas Intensas,0
2000,Mar,Itapema,Chuvas Intensas,0
2000,Nov,Itapema,Chuvas Intensas,0
2000,Out,Itapema,Chuvas Intensas,0
2000,Set,Itapema,Chuvas Intensas,0
2001,Abr,Itapema,Chuvas Intensas,0
2001,Ago,Itapema,Chuvas Intensas,0
2001,Dez,Itapema,Chuvas Intensas,0
2001,Fev,Itapema,Chuvas Intensas,0
2001,Jan,Itapema,Chuvas Intensas,0
2001,Jul,Itapema,Chuvas Intensas,0
2001,Jun,Itapema,Chuvas Intensas,0
2001,Mai,Itapema,Chuvas Intensas,0
2001,Mar,Itapema,Chuvas Intensas,0
2001,Nov,Itapema,Chuvas Intensas,0
2001,Out,Itapema,Chuvas Intensas,0
2001,Set,Itapema,Chuvas Intensas,0
2002,Abr,Itapema,Chuvas Intensas,0
2002,Ago,Itapema,Chuvas Intensas,0
2002,Dez,Itapema,Chuvas Intensas,0
2002,Fev,Itapema,Chuvas Intensas,0
2002,Jan,Itapema,Chuvas Intensas,0
2002,Jul,Itapema,Chuvas Intensas,0
2002,Jun,Itapema,Chuvas Intensas,0
2002,Mai,Itapema,Chuvas Intensas,0
2002,Mar,Itapema,Chuvas Intensas,0
2002,Nov,Itapema,Chuvas Intensas,0
2002,Out,Itapema,Chuvas Intensas,0
2002,Set,Itapema,Chuvas Intensas,0
2003,Abr,Itapema,Chuvas Intensas,0
2003,Ago,Itapema,Chuvas Intensas,0
2003,Dez,Itapema,Chuvas Intensas,0
2003,Fev,Itapema,Chuvas Intensas,0
2003,Jan,Itapema,Chuvas Intensas,0
2003,Jul,Itapema,Chuvas Intensas,0
2003,Jun,Itapema,Chuvas Intensas,0
2003,Mai,Itapema,Chuvas Intensas,0
2003,Mar,Itapema,Chuvas Intensas,0
2003,Nov,Itapema,Chuvas Intensas,0
2003,Out,Itapema,Chuvas Intensas,0
2003,Set,Itapema,Chuvas Intensas,0
2004,Abr,Itapema,Chuvas Intensas,0
2004,Ago,Itapema,Chuvas Intensas,0
2004,Dez,Itapema,Chuvas Intensas,0
2004,Fev,Itapema,Chuvas Intensas,0
2004,Jan,Itapema,Chuvas Intensas,0
2004,Jul,Itapema,Chuvas Intensas,0
2004,Jun,Itapema,Chuvas Intensas,0
2004,Mai,Itapema,Chuvas Intensas,0
2004,Mar,Itapema,Chuvas Intensas,0
2004,Nov,Itapema,Chuvas Intensas,0
2004,Out,Itapema,Chuvas Intensas,0
2004,Set,Itapema,Chuvas Intensas,0
2005,Abr,Itapema,Chuvas Intensas,0
2005,Ago,Itapema,Chuvas Intensas,0
2005,Dez,Itapema,Chuvas Intensas,0
2005,Fev,Itapema,Chuvas Intensas,0
2005,Jan,Itapema,Chuvas Intensas,0
2005,Jul,Itapema,Chuvas Intensas,0
2005,Jun,Itapema,Chuvas Intensas,0
2005,Mai,Itapema,Chuvas Intensas,0
2005,Mar,Itapema,Chuvas Intensas,0
2005,Nov,Itapema,Chuvas Intensas,0
2005,Out,Itapema,Chuvas Intensas,0
2005,Set,Itapema,Chuvas Intensas,0
2006,Abr,Itapema,Chuvas Intensas,0
2006,Ago,Itapema,Chuvas Intensas,0
2006,Dez,Itapema,Chuvas Intensas,0
2006,Fev,Itapema,Chuvas Intensas,0
2006,Jan,Itapema,Chuvas Intensas,0
2006,Jul,Itapema,Chuvas Intensas,0
2006,Jun,Itapema,Chuvas Intensas,0
