nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Itapema,Alagamentos,Mar,2016,1
Itapema,Alagamentos,Abr,2016,1
Itapema,Chuvas Intensas,Jan,2018,1
Itapema,Chuvas Intensas,Jan,2020,1
Itapema,Chuvas Intensas,Fev,2019,1
Itapema,Chuvas Intensas,Mar,2021,1
Itapema,Chuvas Intensas,Mar,2023,1
Itapema,Chuvas Intensas,Dez,2022,1
Itapema,Enxurradas,Jan,2008,1
Itapema,Enxurradas,Mar,2004,1
Itapema,Enxurradas,Mai,2010,1
Itapema,Enxurradas,Nov,2008,1
Itapema,Inundações,Set,2011,1
Itapema,Inundações,Nov,2015,1
Itapema,Movimento de Massa,Mai,2015,1
