nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Itapoá,Alagamentos,Fev,1998,1
Itapoá,Alagamentos,Out,2022,1
Itapoá,Chuvas Intensas,Jan,2021,1
Itapoá,Chuvas Intensas,Jan,2024,2
Itapoá,Chuvas Intensas,Fev,2020,1
Itapoá,Chuvas Intensas,Fev,2022,1
Itapoá,Chuvas Intensas,Mar,2018,1
Itapoá,Chuvas Intensas,Mar,2019,1
Itapoá,Chuvas Intensas,Mar,2021,1
Itapoá,Chuvas Intensas,Mar,2023,1
Itapoá,Chuvas Intensas,Jun,2023,1
Itapoá,Chuvas Intensas,Ago,2022,1
Itapoá,Chuvas Intensas,Set,2021,1
Itapoá,Chuvas Intensas,Out,2023,1
Itapoá,Chuvas Intensas,Nov,2017,1
Itapoá,Chuvas Intensas,Nov,2022,1
Itapoá,Chuvas Intensas,Dez,2021,1
Itapoá,Chuvas Intensas,Dez,2022,1
Itapoá,Enxurradas,Jan,2003,1
Itapoá,Enxurradas,Jan,2008,1
Itapoá,Enxurradas,Jan,2010,1
Itapoá,Enxurradas,Jan,2011,1
Itapoá,Enxurradas,Mar,1994,1
Itapoá,Enxurradas,Nov,2008,1
Itapoá,Inundações,Out,1991,1
