nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Jaguaruna,Alagamentos,Jul,2021,1
Jaguaruna,Chuvas Intensas,Jan,2017,1
Jaguaruna,Chuvas Intensas,Jul,2024,1
Jaguaruna,Chuvas Intensas,Out,2023,2
Jaguaruna,Chuvas Intensas,Nov,2022,1
Jaguaruna,Enxurradas,Jan,2009,1
Jaguaruna,Enxurradas,Jan,2011,1
Jaguaruna,Enxurradas,Mai,2004,1
Jaguaruna,Enxurradas,Mai,2010,1
Jaguaruna,Enxurradas,Mai,2019,1
Jaguaruna,Enxurradas,Jun,2017,1
Jaguaruna,Enxurradas,Ago,2011,1
Jaguaruna,Enxurradas,Ago,2022,1
Jaguaruna,Inundações,Mai,2022,1
Jaguaruna,Movimento de Massa,Out,2021,1
