ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Navegantes,Chuvas Intensas,0
1991,Ago,Navegantes,Chuvas Intensas,0
1991,Dez,Navegantes,Chuvas Intensas,0
1991,Fev,Navegantes,Chuvas Intensas,0
1991,Jan,Navegantes,Chuvas Intensas,0
1991,Jul,Navegantes,Chuvas Intensas,0
1991,Jun,Navegantes,Chuvas Intensas,0
1991,Mai,Navegantes,Chuvas Intensas,0
1991,Mar,Navegantes,Chuvas Intensas,0
1991,Nov,Navegantes,Chuvas Intensas,0
1991,Out,Navegantes,Chuvas Intensas,0
1991,Set,Navegantes,Chuvas Intensas,0
1992,Abr,Navegantes,Chuvas Intensas,0
1992,Ago,Navegantes,Chuvas Intensas,0
1992,Dez,Navegantes,Chuvas Intensas,0
1992,Fev,Navegantes,Chuvas Intensas,0
1992,Jan,Navegantes,Chuvas Intensas,0
1992,Jul,Navegantes,Chuvas Intensas,0
1992,Jun,Navegantes,Chuvas Intensas,0
1992,Mai,Navegantes,Chuvas Intensas,0
1992,Mar,Navegantes,Chuvas Intensas,0
1992,Nov,Navegantes,Chuvas Intensas,0
1992,Out,Navegantes,Chuvas Intensas,0
1992,Set,Navegantes,Chuvas Intensas,0
1993,Abr,Navegantes,Chuvas Intensas,0
1993,Ago,Navegantes,Chuvas Intensas,0
1993,Dez,Navegantes,Chuvas Intensas,0
1993,Fev,Navegantes,Chuvas Intensas,0
1993,Jan,Navegantes,Chuvas Intensas,0
1993,Jul,Navegantes,Chuvas Intensas,0
1993,Jun,Navegantes,Chuvas Intensas,0
1993,Mai,Navegantes,Chuvas Intensas,0
1993,Mar,Navegantes,Chuvas Intensas,0
1993,Nov,Navegantes,Chuvas Intensas,0
1993,Out,Navegantes,Chuvas Intensas,0
1993,Set,Navegantes,Chuvas Intensas,0
1994,Abr,Navegantes,Chuvas Intensas,0
1994,Ago,Navegantes,Chuvas Intensas,0
1994,Dez,Navegantes,Chuvas Intensas,0
1994,Fev,Navegantes,Chuvas Intensas,0
1994,Jan,Navegantes,Chuvas Intensas,0
1994,Jul,Navegantes,Chuvas Intensas,0
1994,Jun,Navegantes,Chuvas Intensas,0
1994,Mai,Navegantes,Chuvas Intensas,0
1994,Mar,Navegantes,Chuvas Intensas,0
1994,Nov,Navegantes,Chuvas Intensas,0
1994,Out,Navegantes,Chuvas Intensas,0
1994,Set,Navegantes,Chuvas Intensas,0
1995,Abr,Navegantes,Chuvas Intensas,0
1995,Ago,Navegantes,Chuvas Intensas,0
1995,Dez,Navegantes,Chuvas Intensas,0
1995,Fev,Navegantes,Chuvas Intensas,0
1995,Jan,Navegantes,Chuvas Intensas,0
1995,Jul,Navegantes,Chuvas Intensas,0
1995,Jun,Navegantes,Chuvas Intensas,0
1995,Mai,Navegantes,Chuvas Intensas,0
1995,Mar,Navegantes,Chuvas Intensas,0
1995,Nov,Navegantes,Chuvas Intensas,0
1995,Out,Navegantes,Chuvas Intensas,0
1995,Set,Navegantes,Chuvas Intensas,0
