nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Navegantes,Alagamentos,Jan,2019,1
Navegantes,Alagamentos,Out,2023,1
Navegantes,Chuvas Intensas,Fev,2019,1
Navegantes,Chuvas Intensas,Dez,2022,1
Navegantes,Enxurradas,Jan,2008,1
Navegantes,Enxurradas,Jan,2018,1
Navegantes,Enxurradas,Fev,2020,1
Navegantes,Enxurradas,Mar,2002,1
Navegantes,Enxurradas,Abr,2009,1
Navegantes,Enxurradas,Abr,2010,1
Navegantes,Enxurradas,Set,2009,1
Navegantes,Enxurradas,Set,2011,1
Navegantes,Enxurradas,Nov,2003,1
Navegantes,Enxurradas,Nov,2008,1
Navegantes,Inundações,Mar,1992,1
Navegantes,Inundações,Out,2001,1
Navegantes,Movimento de Massa,Jun,2020,1
