ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Navegantes,Movimento de Massa,0
1991,Ago,Navegantes,Movimento de Massa,0
1991,Dez,Navegantes,Movimento de Massa,0
1991,Fev,Navegantes,Movimento de Massa,0
1991,Jan,Navegantes,Movimento de Massa,0
1991,Jul,Navegantes,Movimento de Massa,0
1991,Jun,Navegantes,Movimento de Massa,0
1991,Mai,Navegantes,Movimento de Massa,0
1991,Mar,Navegantes,Movimento de Massa,0
1991,Nov,Navegantes,Movimento de Massa,0
1991,Out,Navegantes,Movimento de Massa,0
1991,Set,Navegantes,Movimento de Massa,0
1992,Abr,Navegantes,Movimento de Massa,0
1992,Ago,Navegantes,Movimento de Massa,0
1992,Dez,Navegantes,Movimento de Massa,0
1992,Fev,Navegantes,Movimento de Massa,0
1992,Jan,Navegantes,Movimento de Massa,0
1992,Jul,Navegantes,Movimento de Massa,0
1992,Jun,Navegantes,Movimento de Massa,0
1992,Mai,Navegantes,Movimento de Massa,0
1992,Mar,Navegantes,Movimento de Massa,0
1992,Nov,Navegantes,Movimento de Massa,0
1992,Out,Navegantes,Movimento de Massa,0
1992,Set,Navegantes,Movimento de Massa,0
1993,Abr,Navegantes,Movimento de Massa,0
1993,Ago,Navegantes,Movimento de Massa,0
1993,Dez,Navegantes,Movimento de Massa,0
1993,Fev,Navegantes,Movimento de Massa,0
1993,Jan,Navegantes,Movimento de Massa,0
1993,Jul,Navegantes,Movimento de Massa,0
1993,Jun,Navegantes,Movimento de Massa,0
1993,Mai,Navegantes,Movimento de Massa,0
1993,Mar,Navegantes,Movimento de Massa,0
1993,Nov,Navegantes,Movimento de Massa,0
1993,Out,Navegantes,Movimento de Massa,0
1993,Set,Navegantes,Movimento de Massa,0
1994,Abr,Navegantes,Movimento de Massa,0
1994,Ago,Navegantes,Movimento de Massa,0
1994,Dez,Navegantes,Movimento de Massa,0
1994,Fev,Navegantes,Movimento de Massa,0
1994,Jan,Navegantes,Movimento de Massa,0
1994,Jul,Navegantes,Movimento de Massa,0
1994,Jun,Navegantes,Movimento de Massa,0
1994,Mai,Navegantes,Movimento de Massa,0
1994,Mar,Navegantes,Movimento de Massa,0
1994,Nov,Navegantes,Movimento de Massa,0
1994,Out,Navegantes,Movimento de Massa,0
1994,Set,Navegantes,Movimento de Massa,0
1995,Abr,Navegantes,Movimento de Massa,0
1995,Ago,Navegantes,Movimento de Massa,0
1995,Dez,Navegantes,Movimento de Massa,0
1995,Fev,Navegantes,Movimento de Massa,0
1995,Jan,Navegantes,Movimento de Massa,0
1995,Jul,Navegantes,Movimento de Massa,0
1995,Jun,Navegantes,Movimento de Massa,0
1995,Mai,Navegantes,Movimento de Massa,0
1995,Mar,Navegantes,Movimento de Massa,0
1995,Nov,Navegantes,Movimento de Massa,0
1995,Out,Navegantes,Movimento de Massa,0
1995,Set,Navegantes,Movimento de Massa,0
1996,Abr,Navegantes,Movimento de Massa,0
1996,Ago,Navegantes,Movimento de Massa,0
1996,Dez,Navegantes,Movimento de Massa,0
1996,Fev,Navegantes,Movimento de Massa,0
1996,Jan,Navegantes,Movimento de Massa,0
1996,Jul,Navegantes,Movimento de Massa,0
1996,Jun,Navegantes,Movimento de Massa,0
1996,Mai,Navegantes,Movimento de Massa,0
1996,Mar,Navegantes,Movimento de Massa,0
1996,Nov,Navegantes,Movimento de Massa,0
1996,Out,Navegantes,Movimento de Massa,0
1996,Set,Navegantes,Movimento de Massa,0
1997,Abr,Navegantes,Movimento de Massa,0
1997,Ago,Navegantes,Movimento de Massa,0
1997,Dez,Navegantes,Movimento de Massa,0
1997,Fev,Navegantes,Movimento de Massa,0
1997,Jan,Navegantes,Movimento de Massa,0
1997,Jul,Navegantes,Movimento de Massa,0
1997,Jun,Navegantes,Movimento de Massa,0
1997,Mai,Navegantes,Movimento de Massa,0
1997,Mar,Navegantes,Movimento de Massa,0
1997,Nov,Navegantes,Movimento de Massa,0
1997,Out,Navegantes,Movimento de Massa,0
1997,Set,Navegantes,Movimento de Massa,0
1998,Abr,Navegantes,Movimento de Massa,0
1998,Ago,Navegantes,Movimento de Massa,0
1998,Dez,Navegantes,Movimento de Massa,0
1998,Fev,Navegantes,Movimento de Massa,0
1998,Jan,Navegantes,Movimento de Massa,0
1998,Jul,Navegantes,Movimento de Massa,0
1998,Jun,Navegantes,Movimento de Massa,0
1998,Mai,Navegantes,Movimento de Massa,0
1998,Mar,Navegantes,Movimento de Massa,0
1998,Nov,Navegantes,Movimento de Massa,0
1998,Out,Navegantes,Movimento de Massa,0
1998,Set,Navegantes,Movimento de Massa,0
1999,Abr,Navegantes,Movimento de Massa,0
1999,Ago,Navegantes,Movimento de Massa,0
1999,Dez,Navegantes,Movimento de Massa,0
1999,Fev,Navegantes,Movimento de Massa,0
1999,Jan,Navegantes,Movimento de Massa,0
1999,Jul,Navegantes,Movimento de Massa,0
1999,Jun,Navegantes,Movimento de Massa,0
1999,Mai,Navegantes,Movimento de Massa,0
1999,Mar,Navegantes,Movimento de Massa,0
1999,Nov,Navegantes,Movimento de Massa,0
1999,Out,Navegantes,Movimento de Massa,0
1999,Set,Navegantes,Movimento de Massa,0
2000,Abr,Navegantes,Movimento de Massa,0
2000,Ago,Navegantes,Movimento de Massa,0
2000,Dez,Navegantes,Movimento de Massa,0
2000,Fev,Navegantes,Movimento de Massa,0
2000,Jan,Navegantes,Movimento de Massa,0
2000,Jul,Navegantes,Movimento de Massa,0
2000,Jun,Navegantes,Movimento de Massa,0
2000,Mai,Navegantes,Movimento de Massa,0
2000,Mar,Navegantes,Movimento de Massa,0
2000,Nov,Navegantes,Movimento de Massa,0
2000,Out,Navegantes,Movimento de Massa,0
2000,Set,Navegantes,Movimento de Massa,0
2001,Abr,Navegantes,Movimento de Massa,0
2001,Ago,Navegantes,Movimento de Massa,0
2001,Dez,Navegantes,Movimento de Massa,0
2001,Fev,Navegantes,Movimento de Massa,0
2001,Jan,Navegantes,Movimento de Massa,0
2001,Jul,Navegantes,Movimento de Massa,0
2001,Jun,Navegantes,Movimento de Massa,0
2001,Mai,Navegantes,Movimento de Massa,0
2001,Mar,Navegantes,Movimento de Massa,0
2001,Nov,Navegantes,Movimento de Massa,0
2001,Out,Navegantes,Movimento de Massa,0
2001,Set,Navegantes,Movimento de Massa,0
2002,Abr,Navegantes,Movimento de Massa,0
2002,Ago,Navegantes,Movimento de Massa,0
2002,Dez,Navegantes,Movimento de Massa,0
2002,Fev,Navegantes,Movimento de Massa,0
2002,Jan,Navegantes,Movimento de Massa,0
2002,Jul,Navegantes,Movimento de Massa,0
2002,Jun,Navegantes,Movimento de Massa,0
2002,Mai,Navegantes,Movimento de Massa,0
2002,Mar,Navegantes,Movimento de Massa,0
2002,Nov,Navegantes,Movimento de Massa,0
2002,Out,Navegantes,Movimento de Massa,0
2002,Set,Navegantes,Movimento de Massa,0
2003,Abr,Navegantes,Movimento de Massa,0
2003,Ago,Navegantes,Movimento de Massa,0
2003,Dez,Navegantes,Movimento de Massa,0
2003,Fev,Navegantes,Movimento de Massa,0
2003,Jan,Navegantes,Movimento de Massa,0
2003,Jul,Navegantes,Movimento de Massa,0
2003,Jun,Navegantes,Movimento de Massa,0
2003,Mai,Navegantes,Movimento de Massa,0
2003,Mar,Navegantes,Movimento de Massa,0
2003,Nov,Navegantes,Movimento de Massa,0
2003,Out,Navegantes,Movimento de Massa,0
2003,Set,Navegantes,Movimento de Massa,0
2004,Abr,Navegantes,Movimento de Massa,0
2004,Ago,Navegantes,Movimento de Massa,0
2004,Dez,Navegantes,Movimento de Massa,0
2004,Fev,Navegantes,Movimento de Massa,0
2004,Jan,Navegantes,Movimento de Massa,0
2004,Jul,Navegantes,Movimento de Massa,0
2004,Jun,Navegantes,Movimento de Massa,0
2004,Mai,Navegantes,Movimento de Massa,0
2004,Mar,Navegantes,Movimento de Massa,0
2004,Nov,Navegantes,Movimento de Massa,0
2004,Out,Navegantes,Movimento de Massa,0
2004,Set,Navegantes,Movimento de Massa,0
2005,Abr,Navegantes,Movimento de Massa,0
2005,Ago,Navegantes,Movimento de Massa,0
2005,Dez,Navegantes,Movimento de Massa,0
2005,Fev,Navegantes,Movimento de Massa,0
2005,Jan,Navegantes,Movimento de Massa,0
2005,Jul,Navegantes,Movimento de Massa,0
2005,Jun,Navegantes,Movimento de Massa,0
2005,Mai,Navegantes,Movimento de Massa,0
2005,Mar,Navegantes,Movimento de Massa,0
2005,Nov,Navegantes,Movimento de Massa,0
2005,Out,Navegantes,Movimento de Massa,0
2005,Set,Navegantes,Movimento de Massa,0
2006,Abr,Navegantes,Movimento de Massa,0
2006,Ago,Navegantes,Movimento de Massa,0
2006,Dez,Navegantes,Movimento de Massa,0
2006,Fev,Navegantes,Movimento de Massa,0
2006,Jan,Navegantes,Movimento de Massa,0
2006,Jul,Navegantes,Movimento de Massa,0
2006,Jun,Navegantes,Movimento de Massa,0
2006,Mai,Navegantes,Movimento de Massa,0
2006,Mar,Navegantes,Movimento de Massa,0
2006,Nov,Navegantes,Movimento de Massa,0
2006,Out,Navegantes,Movimento de Massa,0
2006,Set,Navegantes,Movimento de Massa,0
2007,Abr,Navegantes,Movimento de Massa,0
2007,Ago,Navegantes,Movimento de Massa,0
2007,Dez,Navegantes,Movimento de Massa,0
2007,Fev,Navegantes,Movimento de Massa,0
2007,Jan,Navegantes,Movimento de Massa,0
2007,Jul,Navegantes,Movimento de Massa,0
2007,Jun,Navegantes,Movimento de Massa,0
2007,Mai,Navegantes,Movimento de Massa,0
2007,Mar,Navegantes,Movimento de Massa,0
2007,Nov,Navegantes,Movimento de Massa,0
2007,Out,Navegantes,Movimento de Massa,0
2007,Set,Navegantes,Movimento de Massa,0
2008,Abr,Navegantes,Movimento de Massa,0
2008,Ago,Navegantes,Movimento de Massa,0
2008,Dez,Navegantes,Movimento de Massa,0
2008,Fev,Navegantes,Movimento de Massa,0
2008,Jan,Navegantes,Movimento de Massa,0
2008,Jul,Navegantes,Movimento de Massa,0
2008,Jun,Navegantes,Movimento de Massa,0
2008,Mai,Navegantes,Movimento de Massa,0
2008,Mar,Navegantes,Movimento de Massa,0
2008,Nov,Navegantes,Movimento de Massa,0
2008,Out,Navegantes,Movimento de Massa,0
2008,Set,Navegantes,Movimento de Massa,0
2009,Abr,Navegantes,Movimento de Massa,0
2009,Ago,Navegantes,Movimento de Massa,0
2009,Dez,Navegantes,Movimento de Massa,0
2009,Fev,Navegantes,Movimento de Massa,0
2009,Jan,Navegantes,Movimento de Massa,0
2009,Jul,Navegantes,Movimento de Massa,0
2009,Jun,Navegantes,Movimento de Massa,0
2009,Mai,Navegantes,Movimento de Massa,0
2009,Mar,Navegantes,Movimento de Massa,0
2009,Nov,Navegantes,Movimento de Massa,0
2009,Out,Navegantes,Movimento de Massa,0
2009,Set,Navegantes,Movimento de Massa,0
2010,Abr,Navegantes,Movimento de Massa,0
2010,Ago,Navegantes,Movimento de Massa,0
2010,Dez,Navegantes,Movimento de Massa,0
2010,Fev,Navegantes,Movimento de Massa,0
2010,Jan,Navegantes,Movimento de Massa,0
2010,Jul,Navegantes,Movimento de Massa,0
2010,Jun,Navegantes,Movimento de Massa,0
2010,Mai,Navegantes,Movimento de Massa,0
2010,Mar,Navegantes,Movimento de Massa,0
2010,Nov,Navegantes,Movimento de Massa,0
2010,Out,Navegantes,Movimento de Massa,0
2010,Set,Navegantes,Movimento de Massa,0
2011,Abr,Navegantes,Movimento de Massa,0
2011,Ago,Navegantes,Movimento de Massa,0
2011,Dez,Navegantes,Movimento de Massa,0
2011,Fev,Navegantes,Movimento de Massa,0
2011,Jan,Navegantes,Movimento de Massa,0
2011,Jul,Navegantes,Movimento de Massa,0
2011,Jun,Navegantes,Movimento de Massa,0
2011,Mai,Navegantes,Movimento de Massa,0
2011,Mar,Navegantes,Movimento de Massa,0
