nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Palhoça,Chuvas Intensas,Jan,2021,1
Palhoça,Chuvas Intensas,Abr,2024,1
Palhoça,Chuvas Intensas,Jun,2021,1
Palhoça,Chuvas Intensas,Out,2021,1
Palhoça,Chuvas Intensas,Out,2023,1
Palhoça,Chuvas Intensas,Nov,2023,1
Palhoça,Chuvas Intensas,Dez,2022,1
Palhoça,Enxurradas,Jan,1997,1
Palhoça,Enxurradas,Jan,2008,1
Palhoça,Enxurradas,Jan,2011,1
Palhoça,Enxurradas,Fev,2001,1
Palhoça,Enxurradas,Fev,2005,1
Palhoça,Enxurradas,Mar,1996,1
Palhoça,Enxurradas,Mar,2010,1
Palhoça,Enxurradas,Set,2011,1
Palhoça,Enxurradas,Out,2001,1
Palhoça,Enxurradas,Nov,2008,1
Palhoça,Inundações,Nov,1991,1
Palhoça,Inundações,Dez,1995,1
Palhoça,Inundações,Dez,2020,1
