ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Palhoça,Inundações,0
1991,Ago,Palhoça,Inundações,0
1991,Dez,Palhoça,Inundações,0
1991,Fev,Palhoça,Inundações,0
1991,Jan,Palhoça,Inundações,0
1991,Jul,Palhoça,Inundações,0
1991,Jun,Palhoça,Inundações,0
1991,Mai,Palhoça,Inundações,0
1991,Mar,Palhoça,Inundações,0
1991,Nov,Palhoça,Inundações,1
1991,Out,Palhoça,Inundações,0
1991,Set,Palhoça,Inundações,0
1992,Abr,Palhoça,Inundações,0
1992,Ago,Palhoça,Inundações,0
1992,Dez,Palhoça,Inundações,0
1992,Fev,Palhoça,Inundações,0
1992,Jan,Palhoça,Inundações,0
1992,Jul,Palhoça,Inundações,0
1992,Jun,Palhoça,Inundações,0
1992,Mai,Palhoça,Inundações,0
1992,Mar,Palhoça,Inundações,0
1992,Nov,Palhoça,Inundações,0
1992,Out,Palhoça,Inundações,0
1992,Set,Palhoça,Inundações,0
1993,Abr,Palhoça,Inundações,0
1993,Ago,Palhoça,Inundações,0
1993,Dez,Palhoça,Inundações,0
1993,Fev,Palhoça,Inundações,0
1993,Jan,Palhoça,Inundações,0
1993,Jul,Palhoça,Inundações,0
1993,Jun,Palhoça,Inundações,0
1993,Mai,Palhoça,Inundações,0
1993,Mar,Palhoça,Inundações,0
1993,Nov,Palhoça,Inundações,0
1993,Out,Palhoça,Inundações,0
1993,Set,Palhoça,Inundações,0
1994,Abr,Palhoça,Inundações,0
1994,Ago,Palhoça,Inundações,0
1994,Dez,Palhoça,Inundações,0
1994,Fev,Palhoça,Inundações,0
1994,Jan,Palhoça,Inundações,0
1994,Jul,Palhoça,Inundações,0
1994,Jun,Palhoça,Inundações,0
1994,Mai,Palhoça,Inundações,0
1994,Mar,Palhoça,Inundações,0
1994,Nov,Palhoça,Inundações,0
1994,Out,Palhoça,Inundações,0
1994,Set,Palhoça,Inundações,0
1995,Abr,Palhoça,Inundações,0
1995,Ago,Palhoça,Inundações,0
1995,Dez,Palhoça,Inundações,1
1995,Fev,Palhoça,Inundações,0
1995,Jan,Palhoça,Inundações,0
1995,Jul,Palhoça,Inundações,0
1995,Jun,Palhoça,Inundações,0
1995,Mai,Palhoça,Inundações,0
1995,Mar,Palhoça,Inundações,0
1995,Nov,Palhoça,Inundações,0
1995,Out,Palhoça,Inundações,0
1995,Set,Palhoça,Inundações,0
1996,Abr,Palhoça,Inundações,0
1996,Ago,Palhoça,Inundações,0
1996,Dez,Palhoça,Inundações,0
1996,Fev,Palhoça,Inundações,0
1996,Jan,Palhoça,Inundações,0
1996,Jul,Palhoça,Inundações,0
1996,Jun,Palhoça,Inundações,0
1996,Mai,Palhoça,Inundações,0
1996,Mar,Palhoça,Inundações,0
1996,Nov,Palhoça,Inundações,0
1996,Out,Palhoça,Inundações,0
1996,Set,Palhoça,Inundações,0
1997,Abr,Palhoça,Inundações,0
1997,Ago,Palhoça,Inundações,0
1997,Dez,Palhoça,Inundações,0
1997,Fev,Palhoça,Inundações,0
1997,Jan,Palhoça,Inundações,0
1997,Jul,Palhoça,Inundações,0
1997,Jun,Palhoça,Inundações,0
1997,Mai,Palhoça,Inundações,0
1997,Mar,Palhoça,Inundações,0
1997,Nov,Palhoça,Inundações,0
1997,Out,Palhoça,Inundações,0
1997,Set,Palhoça,Inundações,0
1998,Abr,Palhoça,Inundações,0
1998,Ago,Palhoça,Inundações,0
