ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Penha,Chuvas Intensas,0
1991,Ago,Penha,Chuvas Intensas,0
1991,Dez,Penha,Chuvas Intensas,0
1991,Fev,Penha,Chuvas Intensas,0
1991,Jan,Penha,Chuvas Intensas,0
1991,Jul,Penha,Chuvas Intensas,0
1991,Jun,Penha,Chuvas Intensas,0
1991,Mai,Penha,Chuvas Intensas,0
1991,Mar,Penha,Chuvas Intensas,0
1991,Nov,Penha,Chuvas Intensas,0
1991,Out,Penha,Chuvas Intensas,0
1991,Set,Penha,Chuvas Intensas,0
1992,Abr,Penha,Chuvas Intensas,0
1992,Ago,Penha,Chuvas Intensas,0
1992,Dez,Penha,Chuvas Intensas,0
1992,Fev,Penha,Chuvas Intensas,0
1992,Jan,Penha,Chuvas Intensas,0
1992,Jul,Penha,Chuvas Intensas,0
1992,Jun,Penha,Chuvas Intensas,0
1992,Mai,Penha,Chuvas Intensas,0
1992,Mar,Penha,Chuvas Intensas,0
1992,Nov,Penha,Chuvas Intensas,0
1992,Out,Penha,Chuvas Intensas,0
1992,Set,Penha,Chuvas Intensas,0
1993,Abr,Penha,Chuvas Intensas,0
1993,Ago,Penha,Chuvas Intensas,0
1993,Dez,Penha,Chuvas Intensas,0
1993,Fev,Penha,Chuvas Intensas,0
1993,Jan,Penha,Chuvas Intensas,0
1993,Jul,Penha,Chuvas Intensas,0
1993,Jun,Penha,Chuvas Intensas,0
1993,Mai,Penha,Chuvas Intensas,0
1993,Mar,Penha,Chuvas Intensas,0
1993,Nov,Penha,Chuvas Intensas,0
1993,Out,Penha,Chuvas Intensas,0
1993,Set,Penha,Chuvas Intensas,0
1994,Abr,Penha,Chuvas Intensas,0
1994,Ago,Penha,Chuvas Intensas,0
1994,Dez,Penha,Chuvas Intensas,0
1994,Fev,Penha,Chuvas Intensas,0
1994,Jan,Penha,Chuvas Intensas,0
1994,Jul,Penha,Chuvas Intensas,0
1994,Jun,Penha,Chuvas Intensas,0
1994,Mai,Penha,Chuvas Intensas,0
1994,Mar,Penha,Chuvas Intensas,0
1994,Nov,Penha,Chuvas Intensas,0
1994,Out,Penha,Chuvas Intensas,0
1994,Set,Penha,Chuvas Intensas,0
1995,Abr,Penha,Chuvas Intensas,0
1995,Ago,Penha,Chuvas Intensas,0
1995,Dez,Penha,Chuvas Intensas,0
1995,Fev,Penha,Chuvas Intensas,0
1995,Jan,Penha,Chuvas Intensas,0
1995,Jul,Penha,Chuvas Intensas,0
1995,Jun,Penha,Chuvas Intensas,0
1995,Mai,Penha,Chuvas Intensas,0
1995,Mar,Penha,Chuvas Intensas,0
1995,Nov,Penha,Chuvas Intensas,0
1995,Out,Penha,Chuvas Intensas,0
1995,Set,Penha,Chuvas Intensas,0
1996,Abr,Penha,Chuvas Intensas,0
1996,Ago,Penha,Chuvas Intensas,0
1996,Dez,Penha,Chuvas Intensas,0
1996,Fev,Penha,Chuvas Intensas,0
1996,Jan,Penha,Chuvas Intensas,0
1996,Jul,Penha,Chuvas Intensas,0
1996,Jun,Penha,Chuvas Intensas,0
1996,Mai,Penha,Chuvas Intensas,0
1996,Mar,Penha,Chuvas Intensas,0
1996,Nov,Penha,Chuvas Intensas,0
1996,Out,Penha,Chuvas Intensas,0
1996,Set,Penha,Chuvas Intensas,0
1997,Abr,Penha,Chuvas Intensas,0
1997,Ago,Penha,Chuvas Intensas,0
1997,Dez,Penha,Chuvas Intensas,0
1997,Fev,Penha,Chuvas Intensas,0
1997,Jan,Penha,Chuvas Intensas,0
1997,Jul,Penha,Chuvas Intensas,0
1997,Jun,Penha,Chuvas Intensas,0
1997,Mai,Penha,Chuvas Intensas,0
1997,Mar,Penha,Chuvas Intensas,0
1997,Nov,Penha,Chuvas Intensas,0
1997,Out,Penha,Chuvas Intensas,0
1997,Set,Penha,Chuvas Intensas,0
1998,Abr,Penha,Chuvas Intensas,0
1998,Ago,Penha,Chuvas Intensas,0
1998,Dez,Penha,Chuvas Intensas,0
1998,Fev,Penha,Chuvas Intensas,0
1998,Jan,Penha,Chuvas Intensas,0
1998,Jul,Penha,Chuvas Intensas,0
1998,Jun,Penha,Chuvas Intensas,0
1998,Mai,Penha,Chuvas Intensas,0
1998,Mar,Penha,Chuvas Intensas,0
1998,Nov,Penha,Chuvas Intensas,0
1998,Out,Penha,Chuvas Intensas,0
1998,Set,Penha,Chuvas Intensas,0
1999,Abr,Penha,Chuvas Intensas,0
1999,Ago,Penha,Chuvas Intensas,0
1999,Dez,Penha,Chuvas Intensas,0
1999,Fev,Penha,Chuvas Intensas,0
1999,Jan,Penha,Chuvas Intensas,0
1999,Jul,Penha,Chuvas Intensas,0
1999,Jun,Penha,Chuvas Intensas,0
1999,Mai,Penha,Chuvas Intensas,0
1999,Mar,Penha,Chuvas Intensas,0
1999,Nov,Penha,Chuvas Intensas,0
1999,Out,Penha,Chuvas Intensas,0
1999,Set,Penha,Chuvas Intensas,0
2000,Abr,Penha,Chuvas Intensas,0
2000,Ago,Penha,Chuvas Intensas,0
2000,Dez,Penha,Chuvas Intensas,0
2000,Fev,Penha,Chuvas Intensas,0
2000,Jan,Penha,Chuvas Intensas,0
2000,Jul,Penha,Chuvas Intensas,0
2000,Jun,Penha,Chuvas Intensas,0
2000,Mai,Penha,Chuvas Intensas,0
2000,Mar,Penha,Chuvas Intensas,0
2000,Nov,Penha,Chuvas Intensas,0
2000,Out,Penha,Chuvas Intensas,0
2000,Set,Penha,Chuvas Intensas,0
2001,Abr,Penha,Chuvas Intensas,0
2001,Ago,Penha,Chuvas Intensas,0
2001,Dez,Penha,Chuvas Intensas,0
2001,Fev,Penha,Chuvas Intensas,0
2001,Jan,Penha,Chuvas Intensas,0
2001,Jul,Penha,Chuvas Intensas,0
2001,Jun,Penha,Chuvas Intensas,0
2001,Mai,Penha,Chuvas Intensas,0
2001,Mar,Penha,Chuvas Intensas,0
2001,Nov,Penha,Chuvas Intensas,0
2001,Out,Penha,Chuvas Intensas,0
2001,Set,Penha,Chuvas Intensas,0
2002,Abr,Penha,Chuvas Intensas,0
2002,Ago,Penha,Chuvas Intensas,0
2002,Dez,Penha,Chuvas Intensas,0
2002,Fev,Penha,Chuvas Intensas,0
2002,Jan,Penha,Chuvas Intensas,0
2002,Jul,Penha,Chuvas Intensas,0
2002,Jun,Penha,Chuvas Intensas,0
2002,Mai,Penha,Chuvas Intensas,0
2002,Mar,Penha,Chuvas Intensas,0
2002,Nov,Penha,Chuvas Intensas,0
2002,Out,Penha,Chuvas Intensas,0
2002,Set,Penha,Chuvas Intensas,0
2003,Abr,Penha,Chuvas Intensas,0
2003,Ago,Penha,Chuvas Intensas,0
2003,Dez,Penha,Chuvas Intensas,0
2003,Fev,Penha,Chuvas Intensas,0
2003,Jan,Penha,Chuvas Intensas,0
2003,Jul,Penha,Chuvas Intensas,0
2003,Jun,Penha,Chuvas Intensas,0
2003,Mai,Penha,Chuvas Intensas,0
2003,Mar,Penha,Chuvas Intensas,0
2003,Nov,Penha,Chuvas Intensas,0
2003,Out,Penha,Chuvas Intensas,0
2003,Set,Penha,Chuvas Intensas,0
2004,Abr,Penha,Chuvas Intensas,0
