ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Penha,Enxurradas,0
1991,Ago,Penha,Enxurradas,0
1991,Dez,Penha,Enxurradas,0
1991,Fev,Penha,Enxurradas,0
1991,Jan,Penha,Enxurradas,0
1991,Jul,Penha,Enxurradas,0
1991,Jun,Penha,Enxurradas,0
1991,Mai,Penha,Enxurradas,0
1991,Mar,Penha,Enxurradas,0
1991,Nov,Penha,Enxurradas,0
1991,Out,Penha,Enxurradas,0
1991,Set,Penha,Enxurradas,0
1992,Abr,Penha,Enxurradas,0
1992,Ago,Penha,Enxurradas,0
1992,Dez,Penha,Enxurradas,0
1992,Fev,Penha,Enxurradas,0
1992,Jan,Penha,Enxurradas,0
1992,Jul,Penha,Enxurradas,0
1992,Jun,Penha,Enxurradas,0
1992,Mai,Penha,Enxurradas,0
1992,Mar,Penha,Enxurradas,0
1992,Nov,Penha,Enxurradas,0
1992,Out,Penha,Enxurradas,0
1992,Set,Penha,Enxurradas,0
1993,Abr,Penha,Enxurradas,0
1993,Ago,Penha,Enxurradas,0
1993,Dez,Penha,Enxurradas,0
1993,Fev,Penha,Enxurradas,0
1993,Jan,Penha,Enxurradas,0
1993,Jul,Penha,Enxurradas,0
1993,Jun,Penha,Enxurradas,0
1993,Mai,Penha,Enxurradas,0
1993,Mar,Penha,Enxurradas,0
1993,Nov,Penha,Enxurradas,0
1993,Out,Penha,Enxurradas,0
1993,Set,Penha,Enxurradas,0
1994,Abr,Penha,Enxurradas,0
1994,Ago,Penha,Enxurradas,0
1994,Dez,Penha,Enxurradas,0
1994,Fev,Penha,Enxurradas,0
1994,Jan,Penha,Enxurradas,0
1994,Jul,Penha,Enxurradas,0
1994,Jun,Penha,Enxurradas,0
1994,Mai,Penha,Enxurradas,0
1994,Mar,Penha,Enxurradas,0
1994,Nov,Penha,Enxurradas,0
1994,Out,Penha,Enxurradas,0
1994,Set,Penha,Enxurradas,0
1995,Abr,Penha,Enxurradas,0
1995,Ago,Penha,Enxurradas,0
1995,Dez,Penha,Enxurradas,0
1995,Fev,Penha,Enxurradas,0
1995,Jan,Penha,Enxurradas,0
1995,Jul,Penha,Enxurradas,0
1995,Jun,Penha,Enxurradas,0
1995,Mai,Penha,Enxurradas,0
1995,Mar,Penha,Enxurradas,0
1995,Nov,Penha,Enxurradas,0
1995,Out,Penha,Enxurradas,0
1995,Set,Penha,Enxurradas,0
1996,Abr,Penha,Enxurradas,0
1996,Ago,Penha,Enxurradas,0
1996,Dez,Penha,Enxurradas,0
1996,Fev,Penha,Enxurradas,0
1996,Jan,Penha,Enxurradas,0
1996,Jul,Penha,Enxurradas,0
1996,Jun,Penha,Enxurradas,0
1996,Mai,Penha,Enxurradas,0
1996,Mar,Penha,Enxurradas,0
1996,Nov,Penha,Enxurradas,0
1996,Out,Penha,Enxurradas,0
1996,Set,Penha,Enxurradas,0
1997,Abr,Penha,Enxurradas,0
1997,Ago,Penha,Enxurradas,0
1997,Dez,Penha,Enxurradas,0
1997,Fev,Penha,Enxurradas,0
1997,Jan,Penha,Enxurradas,0
1997,Jul,Penha,Enxurradas,0
1997,Jun,Penha,Enxurradas,0
1997,Mai,Penha,Enxurradas,0
1997,Mar,Penha,Enxurradas,0
1997,Nov,Penha,Enxurradas,0
1997,Out,Penha,Enxurradas,0
1997,Set,Penha,Enxurradas,0
1998,Abr,Penha,Enxurradas,0
1998,Ago,Penha,Enxurradas,0
1998,Dez,Penha,Enxurradas,0
1998,Fev,Penha,Enxurradas,0
1998,Jan,Penha,Enxurradas,0
1998,Jul,Penha,Enxurradas,0
1998,Jun,Penha,Enxurradas,0
1998,Mai,Penha,Enxurradas,0
1998,Mar,Penha,Enxurradas,0
1998,Nov,Penha,Enxurradas,0
1998,Out,Penha,Enxurradas,0
1998,Set,Penha,Enxurradas,0
1999,Abr,Penha,Enxurradas,0
1999,Ago,Penha,Enxurradas,0
1999,Dez,Penha,Enxurradas,0
1999,Fev,Penha,Enxurradas,0
1999,Jan,Penha,Enxurradas,0
1999,Jul,Penha,Enxurradas,0
1999,Jun,Penha,Enxurradas,0
1999,Mai,Penha,Enxurradas,0
1999,Mar,Penha,Enxurradas,0
1999,Nov,Penha,Enxurradas,0
1999,Out,Penha,Enxurradas,0
1999,Set,Penha,Enxurradas,0
2000,Abr,Penha,Enxurradas,0
2000,Ago,Penha,Enxurradas,0
2000,Dez,Penha,Enxurradas,0
2000,Fev,Penha,Enxurradas,0
2000,Jan,Penha,Enxurradas,0
2000,Jul,Penha,Enxurradas,0
2000,Jun,Penha,Enxurradas,0
