nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Porto Belo,Alagamentos,Jan,2019,1
Porto Belo,Alagamentos,Fev,2021,1
Porto Belo,Alagamentos,Mar,2022,1
Porto Belo,Alagamentos,Nov,2018,1
Porto Belo,Chuvas Intensas,Jan,2018,1
Porto Belo,Chuvas Intensas,Jan,2020,1
Porto Belo,Chuvas Intensas,Jan,2021,1
Porto Belo,Chuvas Intensas,Fev,2019,1
Porto Belo,Chuvas Intensas,Mar,2018,1
Porto Belo,Chuvas Intensas,Mar,2021,1
Porto Belo,Chuvas Intensas,Mar,2023,1
Porto Belo,Chuvas Intensas,Jun,2017,1
Porto Belo,Chuvas Intensas,Ago,2022,1
Porto Belo,Chuvas Intensas,Out,2024,1
Porto Belo,Chuvas Intensas,Dez,2020,2
Porto Belo,Chuvas Intensas,Dez,2022,2
Porto Belo,Enxurradas,Jan,2011,1
Porto Belo,Enxurradas,Fev,2000,1
Porto Belo,Enxurradas,Mar,2004,1
Porto Belo,Enxurradas,Mar,2016,1
Porto Belo,Enxurradas,Abr,2004,1
Porto Belo,Enxurradas,Nov,2008,1
Porto Belo,Movimento de Massa,Abr,2017,1
Porto Belo,Movimento de Massa,Set,2020,1
