nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Santa Rosa do Sul,Alagamentos,Jan,2023,1
Santa Rosa do Sul,Chuvas Intensas,Mai,2022,1
Santa Rosa do Sul,Chuvas Intensas,Mai,2024,1
Santa Rosa do Sul,Chuvas Intensas,Jun,2022,1
Santa Rosa do Sul,Chuvas Intensas,Jun,2024,1
Santa Rosa do Sul,Chuvas Intensas,Out,2023,1
Santa Rosa do Sul,Chuvas Intensas,Nov,2023,1
Santa Rosa do Sul,Chuvas Intensas,Dez,2021,1
Santa Rosa do Sul,Enxurradas,Jan,2011,1
Santa Rosa do Sul,Enxurradas,Jan,2017,1
Santa Rosa do Sul,Enxurradas,Fev,2014,1
Santa Rosa do Sul,Enxurradas,Fev,2021,1
Santa Rosa do Sul,Enxurradas,Jun,2021,1
Santa Rosa do Sul,Enxurradas,Ago,2011,2
Santa Rosa do Sul,Enxurradas,Set,2009,1
Santa Rosa do Sul,Enxurradas,Out,2001,1
Santa Rosa do Sul,Enxurradas,Dez,2002,1
Santa Rosa do Sul,Enxurradas,Dez,2015,1
Santa Rosa do Sul,Inundações,Fev,2001,1
Santa Rosa do Sul,Inundações,Mai,2004,1
Santa Rosa do Sul,Inundações,Set,2013,1
