ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Santa Rosa do Sul,Movimento de Massa,0
1991,Ago,Santa Rosa do Sul,Movimento de Massa,0
1991,Dez,Santa Rosa do Sul,Movimento de Massa,0
1991,Fev,Santa Rosa do Sul,Movimento de Massa,0
1991,Jan,Santa Rosa do Sul,Movimento de Massa,0
1991,Jul,Santa Rosa do Sul,Movimento de Massa,0
1991,Jun,Santa Rosa do Sul,Movimento de Massa,0
1991,Mai,Santa Rosa do Sul,Movimento de Massa,0
1991,Mar,Santa Rosa do Sul,Movimento de Massa,0
1991,Nov,Santa Rosa do Sul,Movimento de Massa,0
1991,Out,Santa Rosa do Sul,Movimento de Massa,0
1991,Set,Santa Rosa do Sul,Movimento de Massa,0
1992,Abr,Santa Rosa do Sul,Movimento de Massa,0
1992,Ago,Santa Rosa do Sul,Movimento de Massa,0
1992,Dez,Santa Rosa do Sul,Movimento de Massa,0
1992,Fev,Santa Rosa do Sul,Movimento de Massa,0
1992,Jan,Santa Rosa do Sul,Movimento de Massa,0
1992,Jul,Santa Rosa do Sul,Movimento de Massa,0
1992,Jun,Santa Rosa do Sul,Movimento de Massa,0
1992,Mai,Santa Rosa do Sul,Movimento de Massa,0
1992,Mar,Santa Rosa do Sul,Movimento de Massa,0
1992,Nov,Santa Rosa do Sul,Movimento de Massa,0
1992,Out,Santa Rosa do Sul,Movimento de Massa,0
1992,Set,Santa Rosa do Sul,Movimento de Massa,0
1993,Abr,Santa Rosa do Sul,Movimento de Massa,0
1993,Ago,Santa Rosa do Sul,Movimento de Massa,0
1993,Dez,Santa Rosa do Sul,Movimento de Massa,0
1993,Fev,Santa Rosa do Sul,Movimento de Massa,0
1993,Jan,Santa Rosa do Sul,Movimento de Massa,0
1993,Jul,Santa Rosa do Sul,Movimento de Massa,0
1993,Jun,Santa Rosa do Sul,Movimento de Massa,0
1993,Mai,Santa Rosa do Sul,Movimento de Massa,0
1993,Mar,Santa Rosa do Sul,Movimento de Massa,0
1993,Nov,Santa Rosa do Sul,Movimento de Massa,0
1993,Out,Santa Rosa do Sul,Movimento de Massa,0
1993,Set,Santa Rosa do Sul,Movimento de Massa,0
1994,Abr,Santa Rosa do Sul,Movimento de Massa,0
1994,Ago,Santa Rosa do Sul,Movimento de Massa,0
1994,Dez,Santa Rosa do Sul,Movimento de Massa,0
1994,Fev,Santa Rosa do Sul,Movimento de Massa,0
1994,Jan,Santa Rosa do Sul,Movimento de Massa,0
1994,Jul,Santa Rosa do Sul,Movimento de Massa,0
1994,Jun,Santa Rosa do Sul,Movimento de Massa,0
1994,Mai,Santa Rosa do Sul,Movimento de Massa,0
1994,Mar,Santa Rosa do Sul,Movimento de Massa,0
1994,Nov,Santa Rosa do Sul,Movimento de Massa,0
1994,Out,Santa Rosa do Sul,Movimento de Massa,0
1994,Set,Santa Rosa do Sul,Movimento de Massa,0
1995,Abr,Santa Rosa do Sul,Movimento de Massa,0
1995,Ago,Santa Rosa do Sul,Movimento de Massa,0
1995,Dez,Santa Rosa do Sul,Movimento de Massa,0
1995,Fev,Santa Rosa do Sul,Movimento de Massa,0
1995,Jan,Santa Rosa do Sul,Movimento de Massa,0
1995,Jul,Santa Rosa do Sul,Movimento de Massa,0
1995,Jun,Santa Rosa do Sul,Movimento de Massa,0
1995,Mai,Santa Rosa do Sul,Movimento de Massa,0
1995,Mar,Santa Rosa do Sul,Movimento de Massa,0
1995,Nov,Santa Rosa do Sul,Movimento de Massa,0
1995,Out,Santa Rosa do Sul,Movimento de Massa,0
1995,Set,Santa Rosa do Sul,Movimento de Massa,0
1996,Abr,Santa Rosa do Sul,Movimento de Massa,0
1996,Ago,Santa Rosa do Sul,Movimento de Massa,0
1996,Dez,Santa Rosa do Sul,Movimento de Massa,0
1996,Fev,Santa Rosa do Sul,Movimento de Massa,0
1996,Jan,Santa Rosa do Sul,Movimento de Massa,0
1996,Jul,Santa Rosa do Sul,Movimento de Massa,0
1996,Jun,Santa Rosa do Sul,Movimento de Massa,0
1996,Mai,Santa Rosa do Sul,Movimento de Massa,0
1996,Mar,Santa Rosa do Sul,Movimento de Massa,0
1996,Nov,Santa Rosa do Sul,Movimento de Massa,0
