nome_municipio,categoria_evento,mes_nome,ano,n_eventos
São Francisco do Sul,Alagamentos,Jan,2022,1
São Francisco do Sul,Alagamentos,Mai,2018,1
São Francisco do Sul,Alagamentos,Mai,2022,1
São Francisco do Sul,Chuvas Intensas,Jan,2021,1
São Francisco do Sul,Chuvas Intensas,Jan,2022,1
São Francisco do Sul,Chuvas Intensas,Jan,2024,1
São Francisco do Sul,Chuvas Intensas,Fev,2020,1
São Francisco do Sul,Chuvas Intensas,Fev,2021,1
São Francisco do Sul,Chuvas Intensas,Mar,2016,1
São Francisco do Sul,Chuvas Intensas,Mar,2021,1
São Francisco do Sul,Chuvas Intensas,Out,2023,1
São Francisco do Sul,Chuvas Intensas,Dez,2024,1
São Francisco do Sul,Enxurradas,Jan,2009,1
São Francisco do Sul,Enxurradas,Fev,2010,1
São Francisco do Sul,Enxurradas,Mar,1994,1
São Francisco do Sul,Enxurradas,Nov,2008,1
São Francisco do Sul,Inundações,Mar,2001,1
São Francisco do Sul,Movimento de Massa,Jan,2018,1
São Francisco do Sul,Movimento de Massa,Set,2017,1
