ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,São João do Sul,Chuvas Intensas,0
1991,Ago,São João do Sul,Chuvas Intensas,0
1991,Dez,São João do Sul,Chuvas Intensas,0
1991,Fev,São João do Sul,Chuvas Intensas,0
1991,Jan,São João do Sul,Chuvas Intensas,0
1991,Jul,São João do Sul,Chuvas Intensas,0
1991,Jun,São João do Sul,Chuvas Intensas,0
1991,Mai,São João do Sul,Chuvas Intensas,0
1991,Mar,São João do Sul,Chuvas Intensas,0
1991,Nov,São João do Sul,Chuvas Intensas,0
1991,Out,São João do Sul,Chuvas Intensas,0
1991,Set,São João do Sul,Chuvas Intensas,0
1992,Abr,São João do Sul,Chuvas Intensas,0
1992,Ago,São João do Sul,Chuvas Intensas,0
1992,Dez,São João do Sul,Chuvas Intensas,0
1992,Fev,São João do Sul,Chuvas Intensas,0
1992,Jan,São João do Sul,Chuvas Intensas,0
1992,Jul,São João do Sul,Chuvas Intensas,0
1992,Jun,São João do Sul,Chuvas Intensas,0
1992,Mai,São João do Sul,Chuvas Intensas,0
1992,Mar,São João do Sul,Chuvas Intensas,0
1992,Nov,São João do Sul,Chuvas Intensas,0
1992,Out,São João do Sul,Chuvas Intensas,0
1992,Set,São João do Sul,Chuvas Intensas,0
1993,Abr,São João do Sul,Chuvas Intensas,0
1993,Ago,São João do Sul,Chuvas Intensas,0
1993,Dez,São João do Sul,Chuvas Intensas,0
1993,Fev,São João do Sul,Chuvas Intensas,0
1993,Jan,São João do Sul,Chuvas Intensas,0
1993,Jul,São João do Sul,Chuvas Intensas,0
1993,Jun,São João do Sul,Chuvas Intensas,0
1993,Mai,São João do Sul,Chuvas Intensas,0
1993,Mar,São João do Sul,Chuvas Intensas,0
1993,Nov,São João do Sul,Chuvas Intensas,0
1993,Out,São João do Sul,Chuvas Intensas,0
1993,Set,São João do Sul,Chuvas Intensas,0
1994,Abr,São João do Sul,Chuvas Intensas,0
1994,Ago,São João do Sul,Chuvas Intensas,0
1994,Dez,São João do Sul,Chuvas Intensas,0
1994,Fev,São João do Sul,Chuvas Intensas,0
1994,Jan,São João do Sul,Chuvas Intensas,0
1994,Jul,São João do Sul,Chuvas Intensas,0
1994,Jun,São João do Sul,Chuvas Intensas,0
1994,Mai,São João do Sul,Chuvas Intensas,0
1994,Mar,São João do Sul,Chuvas Intensas,0
1994,Nov,São João do Sul,Chuvas Intensas,0
1994,Out,São João do Sul,Chuvas Intensas,0
1994,Set,São João do Sul,Chuvas Intensas,0
1995,Abr,São João do Sul,Chuvas Intensas,0
1995,Ago,São João do Sul,Chuvas Intensas,0
1995,Dez,São João do Sul,Chuvas Intensas,0
1995,Fev,São João do Sul,Chuvas Intensas,0
1995,Jan,São João do Sul,Chuvas Intensas,0
1995,Jul,São João do Sul,Chuvas Intensas,0
1995,Jun,São João do Sul,Chuvas Intensas,0
1995,Mai,São João do Sul,Chuvas Intensas,0
1995,Mar,São João do Sul,Chuvas Intensas,0
1995,Nov,São João do Sul,Chuvas Intensas,0
1995,Out,São João do Sul,Chuvas Intensas,0
1995,Set,São João do Sul,Chuvas Intensas,0
