nome_municipio,categoria_evento,mes_nome,ano,n_eventos
São João do Sul,Alagamentos,Mai,2022,1
São João do Sul,Alagamentos,Jun,2021,1
São João do Sul,Chuvas Intensas,Mai,2024,1
São João do Sul,Chuvas Intensas,Jun,2023,1
São João do Sul,Chuvas Intensas,Jun,2024,1
São João do Sul,Chuvas Intensas,Jul,2024,1
São João do Sul,Chuvas Intensas,Set,2023,2
São João do Sul,Chuvas Intensas,Out,2023,1
São João do Sul,Chuvas Intensas,Nov,2023,1
São João do Sul,Chuvas Intensas,Dez,2021,1
São João do Sul,Enxurradas,Jan,2011,1
São João do Sul,Enxurradas,Fev,2000,1
São João do Sul,Enxurradas,Mar,2007,1
São João do Sul,Enxurradas,Mar,2010,1
São João do Sul,Enxurradas,Mai,2008,1
São João do Sul,Enxurradas,Jun,2015,1
São João do Sul,Enxurradas,Jul,1993,1
São João do Sul,Enxurradas,Jul,2020,1
São João do Sul,Enxurradas,Set,2001,1
São João do Sul,Enxurradas,Set,2009,1
São João do Sul,Inundações,Mai,2004,1
São João do Sul,Movimento de Massa,Mai,2021,1
