nome_municipio,categoria_evento,mes_nome,ano,n_eventos
São José,Chuvas Intensas,Jan,2016,1
São José,Chuvas Intensas,Nov,2022,1
São José,Enxurradas,Jan,2004,1
São José,Enxurradas,Jan,2008,1
São José,Enxurradas,Jan,2011,1
São José,Enxurradas,Jan,2019,1
São José,Enxurradas,Fev,2001,1
São José,Enxurradas,Mar,2000,1
São José,Enxurradas,Mar,2010,1
São José,Enxurradas,Mai,2010,1
São José,Enxurradas,Set,2001,1
São José,Enxurradas,Out,1997,1
São José,Enxurradas,Nov,1991,1
São José,Enxurradas,Nov,2008,1
São José,Enxurradas,Dez,2011,1
São José,Inundações,Set,2011,2
