ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Sombrio,Chuvas Intensas,0
1991,Ago,Sombrio,Chuvas Intensas,0
1991,Dez,Sombrio,Chuvas Intensas,0
1991,Fev,Sombrio,Chuvas Intensas,0
1991,Jan,Sombrio,Chuvas Intensas,0
1991,Jul,Sombrio,Chuvas Intensas,0
1991,Jun,Sombrio,Chuvas Intensas,0
1991,Mai,Sombrio,Chuvas Intensas,0
1991,Mar,Sombrio,Chuvas Intensas,0
1991,Nov,Sombrio,Chuvas Intensas,0
1991,Out,Sombrio,Chuvas Intensas,0
1991,Set,Sombrio,Chuvas Intensas,0
1992,Abr,Sombrio,Chuvas Intensas,0
1992,Ago,Sombrio,Chuvas Intensas,0
1992,Dez,Sombrio,Chuvas Intensas,0
1992,Fev,Sombrio,Chuvas Intensas,0
1992,Jan,Sombrio,Chuvas Intensas,0
1992,Jul,Sombrio,Chuvas Intensas,0
1992,Jun,Sombrio,Chuvas Intensas,0
1992,Mai,Sombrio,Chuvas Intensas,0
1992,Mar,Sombrio,Chuvas Intensas,0
1992,Nov,Sombrio,Chuvas Intensas,0
1992,Out,Sombrio,Chuvas Intensas,0
1992,Set,Sombrio,Chuvas Intensas,0
1993,Abr,Sombrio,Chuvas Intensas,0
1993,Ago,Sombrio,Chuvas Intensas,0
1993,Dez,Sombrio,Chuvas Intensas,0
1993,Fev,Sombrio,Chuvas Intensas,0
1993,Jan,Sombrio,Chuvas Intensas,0
1993,Jul,Sombrio,Chuvas Intensas,0
1993,Jun,Sombrio,Chuvas Intensas,0
1993,Mai,Sombrio,Chuvas Intensas,0
1993,Mar,Sombrio,Chuvas Intensas,0
1993,Nov,Sombrio,Chuvas Intensas,0
1993,Out,Sombrio,Chuvas Intensas,0
1993,Set,Sombrio,Chuvas Intensas,0
1994,Abr,Sombrio,Chuvas Intensas,0
1994,Ago,Sombrio,Chuvas Intensas,0
1994,Dez,Sombrio,Chuvas Intensas,0
1994,Fev,Sombrio,Chuvas Intensas,0
1994,Jan,Sombrio,Chuvas Intensas,0
1994,Jul,Sombrio,Chuvas Intensas,0
1994,Jun,Sombrio,Chuvas Intensas,0
1994,Mai,Sombrio,Chuvas Intensas,0
1994,Mar,Sombrio,Chuvas Intensas,0
1994,Nov,Sombrio,Chuvas Intensas,0
1994,Out,Sombrio,Chuvas Intensas,0
1994,Set,Sombrio,Chuvas Intensas,0
1995,Abr,Sombrio,Chuvas Intensas,0
1995,Ago,Sombrio,Chuvas Intensas,0
1995,Dez,Sombrio,Chuvas Intensas,0
1995,Fev,Sombrio,Chuvas Intensas,0
1995,Jan,Sombrio,Chuvas Intensas,0
1995,Jul,Sombrio,Chuvas Intensas,0
1995,Jun,Sombrio,Chuvas Intensas,0
1995,Mai,Sombrio,Chuvas Intensas,0
1995,Mar,Sombrio,Chuvas Intensas,0
1995,Nov,Sombrio,Chuvas Intensas,0
1995,Out,Sombrio,Chuvas Intensas,0
1995,Set,Sombrio,Chuvas Intensas,0
1996,Abr,Sombrio,Chuvas Intensas,0
1996,Ago,Sombrio,Chuvas Intensas,0
1996,Dez,Sombrio,Chuvas Intensas,0
1996,Fev,Sombrio,Chuvas Intensas,0
1996,Jan,Sombrio,Chuvas Intensas,0
1996,Jul,Sombrio,Chuvas Intensas,0
