ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Sombrio,Enxurradas,0
1991,Ago,Sombrio,Enxurradas,0
1991,Dez,Sombrio,Enxurradas,0
1991,Fev,Sombrio,Enxurradas,0
1991,Jan,Sombrio,Enxurradas,0
1991,Jul,Sombrio,Enxurradas,0
1991,Jun,Sombrio,Enxurradas,0
1991,Mai,Sombrio,Enxurradas,0
1991,Mar,Sombrio,Enxurradas,0
1991,Nov,Sombrio,Enxurradas,0
1991,Out,Sombrio,Enxurradas,0
1991,Set,Sombrio,Enxurradas,0
1992,Abr,Sombrio,Enxurradas,0
1992,Ago,Sombrio,Enxurradas,0
1992,Dez,Sombrio,Enxurradas,0
1992,Fev,Sombrio,Enxurradas,0
1992,Jan,Sombrio,Enxurradas,0
1992,Jul,Sombrio,Enxurradas,0
1992,Jun,Sombrio,Enxurradas,0
1992,Mai,Sombrio,Enxurradas,0
1992,Mar,Sombrio,Enxurradas,0
1992,Nov,Sombrio,Enxurradas,0
1992,Out,Sombrio,Enxurradas,0
1992,Set,Sombrio,Enxurradas,0
1993,Abr,Sombrio,Enxurradas,0
1993,Ago,Sombrio,Enxurradas,0
1993,Dez,Sombrio,Enxurradas,0
1993,Fev,Sombrio,Enxurradas,0
1993,Jan,Sombrio,Enxurradas,0
1993,Jul,Sombrio,Enxurradas,0
1993,Jun,Sombrio,Enxurradas,0
1993,Mai,Sombrio,Enxurradas,0
1993,Mar,Sombrio,Enxurradas,0
1993,Nov,Sombrio,Enxurradas,0
1993,Out,Sombrio,Enxurradas,0
1993,Set,Sombrio,Enxurradas,0
1994,Abr,Sombrio,Enxurradas,0
1994,Ago,Sombrio,Enxurradas,0
1994,Dez,Sombrio,Enxurradas,0
1994,Fev,Sombrio,Enxurradas,0
1994,Jan,Sombrio,Enxurradas,0
1994,Jul,Sombrio,Enxurradas,0
1994,Jun,Sombrio,Enxurradas,0
1994,Mai,Sombrio,Enxurradas,0
1994,Mar,Sombrio,Enxurradas,0
1994,Nov,Sombrio,Enxurradas,0
1994,Out,Sombrio,Enxurradas,0
1994,Set,Sombrio,Enxurradas,0
1995,Abr,Sombrio,Enxurradas,0
1995,Ago,Sombrio,Enxurradas,0
1995,Dez,Sombrio,Enxurradas,0
1995,Fev,Sombrio,Enxurradas,0
1995,Jan,Sombrio,Enxurradas,0
1995,Jul,Sombrio,Enxurradas,0
1995,Jun,Sombrio,Enxurradas,0
1995,Mai,Sombrio,Enxurradas,0
1995,Mar,Sombrio,Enxurradas,0
1995,Nov,Sombrio,Enxurradas,0
1995,Out,Sombrio,Enxurradas,0
1995,Set,Sombrio,Enxurradas,0
1996,Abr,Sombrio,Enxurradas,0
1996,Ago,Sombrio,Enxurradas,0
1996,Dez,Sombrio,Enxurradas,0
1996,Fev,Sombrio,Enxurradas,0
1996,Jan,Sombrio,Enxurradas,0
1996,Jul,Sombrio,Enxurradas,0
1996,Jun,Sombrio,Enxurradas,0
1996,Mai,Sombrio,Enxurradas,0
1996,Mar,Sombrio,Enxurradas,0
1996,Nov,Sombrio,Enxurradas,0
1996,Out,Sombrio,Enxurradas,0
1996,Set,Sombrio,Enxurradas,0
1997,Abr,Sombrio,Enxurradas,0
1997,Ago,Sombrio,Enxurradas,0
1997,Dez,Sombrio,Enxurradas,0
1997,Fev,Sombrio,Enxurradas,0
1997,Jan,Sombrio,Enxurradas,0
1997,Jul,Sombrio,Enxurradas,0
1997,Jun,Sombrio,Enxurradas,0
1997,Mai,Sombrio,Enxurradas,0
1997,Mar,Sombrio,Enxurradas,0
1997,Nov,Sombrio,Enxurradas,0
1997,Out,Sombrio,Enxurradas,0
1997,Set,Sombrio,Enxurradas,0
1998,Abr,Sombrio,Enxurradas,0
1998,Ago,Sombrio,Enxurradas,0
1998,Dez,Sombrio,Enxurradas,0
1998,Fev,Sombrio,Enxurradas,0
1998,Jan,Sombrio,Enxurradas,0
1998,Jul,Sombrio,Enxurradas,0
1998,Jun,Sombrio,Enxurradas,0
1998,Mai,Sombrio,Enxurradas,0
1998,Mar,Sombrio,Enxurradas,0
1998,Nov,Sombrio,Enxurradas,0
1998,Out,Sombrio,Enxurradas,0
1998,Set,Sombrio,Enxurradas,0
1999,Abr,Sombrio,Enxurradas,0
1999,Ago,Sombrio,Enxurradas,0
1999,Dez,Sombrio,Enxurradas,0
1999,Fev,Sombrio,Enxurradas,0
1999,Jan,Sombrio,Enxurradas,0
1999,Jul,Sombrio,Enxurradas,0
1999,Jun,Sombrio,Enxurradas,0
1999,Mai,Sombrio,Enxurradas,0
1999,Mar,Sombrio,Enxurradas,0
1999,Nov,Sombrio,Enxurradas,0
1999,Out,Sombrio,Enxurradas,0
1999,Set,Sombrio,Enxurradas,0
2000,Abr,Sombrio,Enxurradas,0
2000,Ago,Sombrio,Enxurradas,0
2000,Dez,Sombrio,Enxurradas,0
2000,Fev,Sombrio,Enxurradas,0
2000,Jan,Sombrio,Enxurradas,0
2000,Jul,Sombrio,Enxurradas,0
2000,Jun,Sombrio,Enxurradas,0
2000,Mai,Sombrio,Enxurradas,0
2000,Mar,Sombrio,Enxurradas,0
2000,Nov,Sombrio,Enxurradas,0
2000,Out,Sombrio,Enxurradas,0
2000,Set,Sombrio,Enxurradas,0
2001,Abr,Sombrio,Enxurradas,0
2001,Ago,Sombrio,Enxurradas,0
2001,Dez,Sombrio,Enxurradas,0
2001,Fev,Sombrio,Enxurradas,0
2001,Jan,Sombrio,Enxurradas,0
2001,Jul,Sombrio,Enxurradas,0
2001,Jun,Sombrio,Enxurradas,0
2001,Mai,Sombrio,Enxurradas,0
2001,Mar,Sombrio,Enxurradas,0
2001,Nov,Sombrio,Enxurradas,0
2001,Out,Sombrio,Enxurradas,0
2001,Set,Sombrio,Enxurradas,0
