ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Tijucas,Alagamentos,0
1991,Ago,Tijucas,Alagamentos,0
1991,Dez,Tijucas,Alagamentos,0
1991,Fev,Tijucas,Alagamentos,0
1991,Jan,Tijucas,Alagamentos,0
1991,Jul,Tijucas,Alagamentos,0
1991,Jun,Tijucas,Alagamentos,0
1991,Mai,Tijucas,Alagamentos,0
1991,Mar,Tijucas,Alagamentos,0
1991,Nov,Tijucas,Alagamentos,0
1991,Out,Tijucas,Alagamentos,0
1991,Set,Tijucas,Alagamentos,0
1992,Abr,Tijucas,Alagamentos,0
1992,Ago,Tijucas,Alagamentos,0
1992,Dez,Tijucas,Alagamentos,0
1992,Fev,Tijucas,Alagamentos,0
1992,Jan,Tijucas,Alagamentos,0
1992,Jul,Tijucas,Alagamentos,0
1992,Jun,Tijucas,Alagamentos,0
1992,Mai,Tijucas,Alagamentos,0
1992,Mar,Tijucas,Alagamentos,0
1992,Nov,Tijucas,Alagamentos,0
1992,Out,Tijucas,Alagamentos,0
1992,Set,Tijucas,Alagamentos,0
1993,Abr,Tijucas,Alagamentos,0
1993,Ago,Tijucas,Alagamentos,0
1993,Dez,Tijucas,Alagamentos,0
1993,Fev,Tijucas,Alagamentos,0
1993,Jan,Tijucas,Alagamentos,0
1993,Jul,Tijucas,Alagamentos,0
1993,Jun,Tijucas,Alagamentos,0
1993,Mai,Tijucas,Alagamentos,0
1993,Mar,Tijucas,Alagamentos,0
1993,Nov,Tijucas,Alagamentos,0
1993,Out,Tijucas,Alagamentos,0
1993,Set,Tijucas,Alagamentos,0
1994,Abr,Tijucas,Alagamentos,0
1994,Ago,Tijucas,Alagamentos,0
1994,Dez,Tijucas,Alagamentos,0
1994,Fev,Tijucas,Alagamentos,0
1994,Jan,Tijucas,Alagamentos,0
1994,Jul,Tijucas,Alagamentos,0
1994,Jun,Tijucas,Alagamentos,0
1994,Mai,Tijucas,Alagamentos,0
1994,Mar,Tijucas,Alagamentos,0
1994,Nov,Tijucas,Alagamentos,0
1994,Out,Tijucas,Alagamentos,0
1994,Set,Tijucas,Alagamentos,0
1995,Abr,Tijucas,Alagamentos,0
1995,Ago,Tijucas,Alagamentos,0
1995,Dez,Tijucas,Alagamentos,0
1995,Fev,Tijucas,Alagamentos,0
1995,Jan,Tijucas,Alagamentos,0
1995,Jul,Tijucas,Alagamentos,0
1995,Jun,Tijucas,Alagamentos,0
1995,Mai,Tijucas,Alagamentos,0
1995,Mar,Tijucas,Alagamentos,0
1995,Nov,Tijucas,Alagamentos,0
1995,Out,Tijucas,Alagamentos,0
1995,Set,Tijucas,Alagamentos,0
1996,Abr,Tijucas,Alagamentos,0
1996,Ago,Tijucas,Alagamentos,0
1996,Dez,Tijucas,Alagamentos,0
1996,Fev,Tijucas,Alagamentos,0
1996,Jan,Tijucas,Alagamentos,0
1996,Jul,Tijucas,Alagamentos,0
1996,Jun,Tijucas,Alagamentos,0
1996,Mai,Tijucas,Alagamentos,0
1996,Mar,Tijucas,Alagamentos,0
1996,Nov,Tijucas,Alagamentos,0
1996,Out,Tijucas,Alagamentos,0
1996,Set,Tijucas,Alagamentos,0
1997,Abr,Tijucas,Alagamentos,0
1997,Ago,Tijucas,Alagamentos,0
1997,Dez,Tijucas,Alagamentos,0
1997,Fev,Tijucas,Alagamentos,0
1997,Jan,Tijucas,Alagamentos,0
1997,Jul,Tijucas,Alagamentos,0
1997,Jun,Tijucas,Alagamentos,0
1997,Mai,Tijucas,Alagamentos,0
1997,Mar,Tijucas,Alagamentos,0
1997,Nov,Tijucas,Alagamentos,0
1997,Out,Tijucas,Alagamentos,0
1997,Set,Tijucas,Alagamentos,0
1998,Abr,Tijucas,Alagamentos,0
1998,Ago,Tijucas,Alagamentos,0
1998,Dez,Tijucas,Alagamentos,0
1998,Fev,Tijucas,Alagamentos,0
1998,Jan,Tijucas,Alagamentos,0
1998,Jul,Tijucas,Alagamentos,0
1998,Jun,Tijucas,Alagamentos,0
1998,Mai,Tijucas,Alagamentos,0
1998,Mar,Tijucas,Alagamentos,0
1998,Nov,Tijucas,Alagamentos,0
1998,Out,Tijucas,Alagamentos,0
1998,Set,Tijucas,Alagamentos,0
1999,Abr,Tijucas,Alagamentos,0
1999,Ago,Tijucas,Alagamentos,0
1999,Dez,Tijucas,Alagamentos,0
1999,Fev,Tijucas,Alagamentos,0
1999,Jan,Tijucas,Alagamentos,0
1999,Jul,Tijucas,Alagamentos,0
1999,Jun,Tijucas,Alagamentos,0
1999,Mai,Tijucas,Alagamentos,0
1999,Mar,Tijucas,Alagamentos,0
1999,Nov,Tijucas,Alagamentos,0
1999,Out,Tijucas,Alagamentos,0
1999,Set,Tijucas,Alagamentos,0
2000,Abr,Tijucas,Alagamentos,0
2000,Ago,Tijucas,Alagamentos,0
2000,Dez,Tijucas,Alagamentos,0
2000,Fev,Tijucas,Alagamentos,0
2000,Jan,Tijucas,Alagamentos,0
2000,Jul,Tijucas,Alagamentos,0
2000,Jun,Tijucas,Alagamentos,0
2000,Mai,Tijucas,Alagamentos,0
2000,Mar,Tijucas,Alagamentos,0
2000,Nov,Tijucas,Alagamentos,0
2000,Out,Tijucas,Alagamentos,0
2000,Set,Tijucas,Alagamentos,0
2001,Abr,Tijucas,Alagamentos,0
2001,Ago,Tijucas,Alagamentos,0
2001,Dez,Tijucas,Alagamentos,0
2001,Fev,Tijucas,Alagamentos,0
2001,Jan,Tijucas,Alagamentos,0
2001,Jul,Tijucas,Alagamentos,0
2001,Jun,Tijucas,Alagamentos,0
2001,Mai,Tijucas,Alagamentos,0
2001,Mar,Tijucas,Alagamentos,0
2001,Nov,Tijucas,Alagamentos,0
2001,Out,Tijucas,Alagamentos,0
2001,Set,Tijucas,Alagamentos,0
2002,Abr,Tijucas,Alagamentos,0
2002,Ago,Tijucas,Alagamentos,0
2002,Dez,Tijucas,Alagamentos,0
2002,Fev,Tijucas,Alagamentos,0
2002,Jan,Tijucas,Alagamentos,0
2002,Jul,Tijucas,Alagamentos,0
2002,Jun,Tijucas,Alagamentos,0
2002,Mai,Tijucas,Alagamentos,0
2002,Mar,Tijucas,Alagamentos,0
2002,Nov,Tijucas,Alagamentos,0
2002,Out,Tijucas,Alagamentos,0
2002,Set,Tijucas,Alagamentos,0
