ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Tijucas,Chuvas Intensas,0
1991,Ago,Tijucas,Chuvas Intensas,0
1991,Dez,Tijucas,Chuvas Intensas,0
1991,Fev,Tijucas,Chuvas Intensas,0
1991,Jan,Tijucas,Chuvas Intensas,0
1991,Jul,Tijucas,Chuvas Intensas,0
1991,Jun,Tijucas,Chuvas Intensas,0
1991,Mai,Tijucas,Chuvas Intensas,0
1991,Mar,Tijucas,Chuvas Intensas,0
1991,Nov,Tijucas,Chuvas Intensas,0
1991,Out,Tijucas,Chuvas Intensas,0
1991,Set,Tijucas,Chuvas Intensas,0
1992,Abr,Tijucas,Chuvas Intensas,0
1992,Ago,Tijucas,Chuvas Intensas,0
1992,Dez,Tijucas,Chuvas Intensas,0
1992,Fev,Tijucas,Chuvas Intensas,0
1992,Jan,Tijucas,Chuvas Intensas,0
1992,Jul,Tijucas,Chuvas Intensas,0
1992,Jun,Tijucas,Chuvas Intensas,0
1992,Mai,Tijucas,Chuvas Intensas,0
1992,Mar,Tijucas,Chuvas Intensas,0
1992,Nov,Tijucas,Chuvas Intensas,0
1992,Out,Tijucas,Chuvas Intensas,0
1992,Set,Tijucas,Chuvas Intensas,0
1993,Abr,Tijucas,Chuvas Intensas,0
1993,Ago,Tijucas,Chuvas Intensas,0
1993,Dez,Tijucas,Chuvas Intensas,0
1993,Fev,Tijucas,Chuvas Intensas,0
1993,Jan,Tijucas,Chuvas Intensas,0
1993,Jul,Tijucas,Chuvas Intensas,0
1993,Jun,Tijucas,Chuvas Intensas,0
1993,Mai,Tijucas,Chuvas Intensas,0
1993,Mar,Tijucas,Chuvas Intensas,0
1993,Nov,Tijucas,Chuvas Intensas,0
1993,Out,Tijucas,Chuvas Intensas,0
1993,Set,Tijucas,Chuvas Intensas,0
1994,Abr,Tijucas,Chuvas Intensas,0
1994,Ago,Tijucas,Chuvas Intensas,0
1994,Dez,Tijucas,Chuvas Intensas,0
1994,Fev,Tijucas,Chuvas Intensas,0
1994,Jan,Tijucas,Chuvas Intensas,0
1994,Jul,Tijucas,Chuvas Intensas,0
1994,Jun,Tijucas,Chuvas Intensas,0
1994,Mai,Tijucas,Chuvas Intensas,0
1994,Mar,Tijucas,Chuvas Intensas,0
1994,Nov,Tijucas,Chuvas Intensas,0
1994,Out,Tijucas,Chuvas Intensas,0
1994,Set,Tijucas,Chuvas Intensas,0
1995,Abr,Tijucas,Chuvas Intensas,0
1995,Ago,Tijucas,Chuvas Intensas,0
1995,Dez,Tijucas,Chuvas Intensas,0
1995,Fev,Tijucas,Chuvas Intensas,0
1995,Jan,Tijucas,Chuvas Intensas,0
1995,Jul,Tijucas,Chuvas Intensas,0
1995,Jun,Tijucas,Chuvas Intensas,0
1995,Mai,Tijucas,Chuvas Intensas,0
1995,Mar,Tijucas,Chuvas Intensas,0
1995,Nov,Tijucas,Chuvas Intensas,0
1995,Out,Tijucas,Chuvas Intensas,0
1995,Set,Tijucas,Chuvas Intensas,0
1996,Abr,Tijucas,Chuvas Intensas,0
1996,Ago,Tijucas,Chuvas Intensas,0
1996,Dez,Tijucas,Chuvas Intensas,0
1996,Fev,Tijucas,Chuvas Intensas,0
1996,Jan,Tijucas,Chuvas Intensas,0
1996,Jul,Tijucas,Chuvas Intensas,0
1996,Jun,Tijucas,Chuvas Intensas,0
1996,Mai,Tijucas,Chuvas Intensas,0
1996,Mar,Tijucas,Chuvas Intensas,0
1996,Nov,Tijucas,Chuvas Intensas,0
1996,Out,Tijucas,Chuvas Intensas,0
1996,Set,Tijucas,Chuvas Intensas,0
1997,Abr,Tijucas,Chuvas Intensas,0
1997,Ago,Tijucas,Chuvas Intensas,0
1997,Dez,Tijucas,Chuvas Intensas,0
1997,Fev,Tijucas,Chuvas Intensas,0
1997,Jan,Tijucas,Chuvas Intensas,0
1997,Jul,Tijucas,Chuvas Intensas,0
1997,Jun,Tijucas,Chuvas Intensas,0
1997,Mai,Tijucas,Chuvas Intensas,0
1997,Mar,Tijucas,Chuvas Intensas,0
1997,Nov,Tijucas,Chuvas Intensas,0
1997,Out,Tijucas,Chuvas Intensas,0
1997,Set,Tijucas,Chuvas Intensas,0
1998,Abr,Tijucas,Chuvas Intensas,0
1998,Ago,Tijucas,Chuvas Intensas,0
1998,Dez,Tijucas,Chuvas Intensas,0
1998,Fev,Tijucas,Chuvas Intensas,0
1998,Jan,Tijucas,Chuvas Intensas,0
1998,Jul,Tijucas,Chuvas Intensas,0
1998,Jun,Tijucas,Chuvas Intensas,0
1998,Mai,Tijucas,Chuvas Intensas,0
1998,Mar,Tijucas,Chuvas Intensas,0
1998,Nov,Tijucas,Chuvas Intensas,0
1998,Out,Tijucas,Chuvas Intensas,0
1998,Set,Tijucas,Chuvas Intensas,0
1999,Abr,Tijucas,Chuvas Intensas,0
1999,Ago,Tijucas,Chuvas Intensas,0
1999,Dez,Tijucas,Chuvas Intensas,0
1999,Fev,Tijucas,Chuvas Intensas,0
1999,Jan,Tijucas,Chuvas Intensas,0
1999,Jul,Tijucas,Chuvas Intensas,0
1999,Jun,Tijucas,Chuvas Intensas,0
1999,Mai,Tijucas,Chuvas Intensas,0
1999,Mar,Tijucas,Chuvas Intensas,0
1999,Nov,Tijucas,Chuvas Intensas,0
1999,Out,Tijucas,Chuvas Intensas,0
1999,Set,Tijucas,Chuvas Intensas,0
2000,Abr,Tijucas,Chuvas Intensas,0
2000,Ago,Tijucas,Chuvas Intensas,0
2000,Dez,Tijucas,Chuvas Intensas,0
2000,Fev,Tijucas,Chuvas Intensas,0
2000,Jan,Tijucas,Chuvas Intensas,0
2000,Jul,Tijucas,Chuvas Intensas,0
2000,Jun,Tijucas,Chuvas Intensas,0
2000,Mai,Tijucas,Chuvas Intensas,0
2000,Mar,Tijucas,Chuvas Intensas,0
2000,Nov,Tijucas,Chuvas Intensas,0
2000,Out,Tijucas,Chuvas Intensas,0
2000,Set,Tijucas,Chuvas Intensas,0
2001,Abr,Tijucas,Chuvas Intensas,0
2001,Ago,Tijucas,Chuvas Intensas,0
2001,Dez,Tijucas,Chuvas Intensas,0
2001,Fev,Tijucas,Chuvas Intensas,0
2001,Jan,Tijucas,Chuvas Intensas,0
2001,Jul,Tijucas,Chuvas Intensas,0
2001,Jun,Tijucas,Chuvas Intensas,0
2001,Mai,Tijucas,Chuvas Intensas,0
2001,Mar,Tijucas,Chuvas Intensas,0
2001,Nov,Tijucas,Chuvas Intensas,0
2001,Out,Tijucas,Chuvas Intensas,0
2001,Set,Tijucas,Chuvas Intensas,0
2002,Abr,Tijucas,Chuvas Intensas,0
2002,Ago,Tijucas,Chuvas Intensas,0
2002,Dez,Tijucas,Chuvas Intensas,0
2002,Fev,Tijucas,Chuvas Intensas,0
2002,Jan,Tijucas,Chuvas Intensas,0
2002,Jul,Tijucas,Chuvas Intensas,0
