nome_municipio,categoria_evento,mes_nome,ano,n_eventos
Tijucas,Alagamentos,Mar,2013,1
Tijucas,Chuvas Intensas,Mar,2022,1
Tijucas,Chuvas Intensas,Jun,2021,1
Tijucas,Chuvas Intensas,Out,2022,1
Tijucas,Chuvas Intensas,Out,2023,1
Tijucas,Chuvas Intensas,Nov,2022,1
Tijucas,Chuvas Intensas,Dez,2022,1
Tijucas,Enxurradas,Jan,2008,1
Tijucas,Enxurradas,Mar,2010,1
Tijucas,Enxurradas,Mar,2011,1
Tijucas,Enxurradas,Ago,2011,1
Tijucas,Enxurradas,Nov,2008,1
Tijucas,Inundações,Set,2011,1
Tijucas,Inundações,Out,2001,1
