ano,mes_nome,nome_municipio,categoria_evento,n_eventos
1991,Abr,Tijucas,Movimento de Massa,0
1991,Ago,Tijucas,Movimento de Massa,0
1991,Dez,Tijucas,Movimento de Massa,0
1991,Fev,Tijucas,Movimento de Massa,0
1991,Jan,Tijucas,Movimento de Massa,0
1991,Jul,Tijucas,Movimento de Massa,0
1991,Jun,Tijucas,Movimento de Massa,0
1991,Mai,Tijucas,Movimento de Massa,0
1991,Mar,Tijucas,Movimento de Massa,0
1991,Nov,Tijucas,Movimento de Massa,0
1991,Out,Tijucas,Movimento de Massa,0
1991,Set,Tijucas,Movimento de Massa,0
1992,Abr,Tijucas,Movimento de Massa,0
1992,Ago,Tijucas,Movimento de Massa,0
1992,Dez,Tijucas,Movimento de Massa,0
1992,Fev,Tijucas,Movimento de Massa,0
1992,Jan,Tijucas,Movimento de Massa,0
1992,Jul,Tijucas,Movimento de Massa,0
1992,Jun,Tijucas,Movimento de Massa,0
1992,Mai,Tijucas,Movimento de Massa,0
1992,Mar,Tijucas,Movimento de Massa,0
1992,Nov,Tijucas,Movimento de Massa,0
1992,Out,Tijucas,Movimento de Massa,0
1992,Set,Tijucas,Movimento de Massa,0
1993,Abr,Tijucas,Movimento de Massa,0
1993,Ago,Tijucas,Movimento de Massa,0
1993,Dez,Tijucas,Movimento de Massa,0
1993,Fev,Tijucas,Movimento de Massa,0
1993,Jan,Tijucas,Movimento de Massa,0
1993,Jul,Tijucas,Movimento de Massa,0
1993,Jun,Tijucas,Movimento de Massa,0
1993,Mai,Tijucas,Movimento de Massa,0
1993,Mar,Tijucas,Movimento de Massa,0
1993,Nov,Tijucas,Movimento de Massa,0
1993,Out,Tijucas,Movimento de Massa,0
1993,Set,Tijucas,Movimento de Massa,0
1994,Abr,Tijucas,Movimento de Massa,0
1994,Ago,Tijucas,Movimento de Massa,0
1994,Dez,Tijucas,Movimento de Massa,0
1994,Fev,Tijucas,Movimento de Massa,0
1994,Jan,Tijucas,Movimento de Massa,0
1994,Jul,Tijucas,Movimento de Massa,0
1994,Jun,Tijucas,Movimento de Massa,0
1994,Mai,Tijucas,Movimento de Massa,0
1994,Mar,Tijucas,Movimento de Massa,0
