"uf","ocorrencias","perc"
"SC",4567,0.165028546650285
"MG",4483,0.161993206619932
"RS",3622,0.13088097130881
"SP",1940,0.070101900701019
"BA",1325,0.0478788754787888
"RJ",1268,0.0458191804581918
"PA",1244,0.0449519404495194
"PR",1186,0.0428561104285611
"ES",1120,0.040471200404712
"PE",947,0.0342198453421985
"MT",839,0.0303172653031727
"MS",823,0.0297391052973911
"AM",723,0.0261256052612561
"MA",631,0.0228011852280119
"CE",465,0.0168027751680278
"RN",457,0.016513695165137
"PI",410,0.0148153501481535
"AL",363,0.0131170051311701
"PB",320,0.011563200115632
"TO",239,0.00863626508636265
"GO",212,0.0076606200766062
"SE",146,0.0052757100527571
"AC",111,0.00401098504010985
"RO",101,0.00364963503649635
"RR",73,0.00263785502637855
"AP",51,0.00184288501842885
"pa",6,0.0002168100021681
"DF",2,7.22700007227e-05
