coluna,tipo
sigla_uf,character
grupo_de_desastre,character
dh_mortos,numeric
dh_feridos,numeric
dh_enfermos,numeric
dh_desabrigados,numeric
dh_desalojados,numeric
dh_desaparecidos,numeric
dh_outros_afetados,numeric
dm_uni_habita_danificadas,numeric
dm_uni_habita_destruidas,numeric
dm_uni_habita_valor,numeric
dm_inst_saude_danificadas,numeric
dm_inst_saude_destruidas,numeric
dm_inst_saude_valor,numeric
dm_inst_ensino_danificadas,numeric
dm_inst_ensino_destruidas,numeric
dm_inst_ensino_valor,numeric
dm_inst_servicos_danificadas,numeric
dm_inst_servicos_destruidas,numeric
dm_inst_servicos_valor,numeric
dm_inst_comuni_danificadas,numeric
dm_inst_comuni_destruidas,numeric
dm_inst_comuni_valor,numeric
dm_obras_de_infra_danificadas,numeric
dm_obras_de_infra_destruidas,numeric
dm_obras_de_infra_valor,numeric
dm_total_danos_materiais,numeric
pepl_sis_limp_e_rec_lixo_r,numeric
pepl_sis_cont_pragas_r,numeric
pepl_distrib_energia_r,numeric
pepl_telecomunicacoes_r,numeric
pepl_tran_loc_reg_l_curso_r,numeric
pepl_seguranca_publica_r,numeric
pepl_ensino_r,numeric
pepl_total_publico,numeric
pepr_agricultura_r,numeric
pepr_pecuaria_r,numeric
pepr_industria_r,numeric
pepr_comercio_r,numeric
pepr_servicos_r,numeric
pepr_total_privado,numeric
