sigla_uf,dh_mortos,dh_feridos,dh_enfermos,dh_desabrigados,dh_desalojados,dh_desaparecidos,dh_outros_afetados,dm_uni_habita_danificadas,dm_uni_habita_destruidas,dm_uni_habita_valor,dm_inst_saude_danificadas,dm_inst_saude_destruidas,dm_inst_saude_valor,dm_inst_ensino_danificadas,dm_inst_ensino_destruidas,dm_inst_ensino_valor,dm_inst_servicos_danificadas,dm_inst_servicos_destruidas,dm_inst_servicos_valor,dm_inst_comuni_danificadas,dm_inst_comuni_destruidas,dm_inst_comuni_valor,dm_obras_de_infra_danificadas,dm_obras_de_infra_destruidas,dm_obras_de_infra_valor,dm_total_danos_materiais,pepl_sis_limp_e_rec_lixo_r,pepl_sis_cont_pragas_r,pepl_distrib_energia_r,pepl_telecomunicacoes_r,pepl_tran_loc_reg_l_curso_r,pepl_seguranca_publica_r,pepl_ensino_r,pepl_total_publico,pepr_agricultura_r,pepr_pecuaria_r,pepr_industria_r,pepr_comercio_r,pepr_servicos_r,pepr_total_privado
AC,6,418,11177,54438,121751,2,697610,105096,18570,1324601211.8051834,94,11107,24419203.00232421,132,34,59176124.98131507,43,24,32074135.786664616,152,19,24061953.124063503,495,316,504060525.7145128,1968393154.4140642,18932156.102225356,14336205.385207567,10670794.885356173,2722476.0913118804,56292178.630774476,4928298.4249391705,28048693.5336416,213999459.65446925,163794483.55904046,43212407.54123983,5578843.033663556,19767476.047718126,19667549.882884324,252020760.06454632
AL,62,2734,3902,118693,223531,144,1454052,48471,29999,12522386891.648623,538,9587,69229244.28164904,394,48,92374851.23898835,70,61,78178124.24687721,97,138,110922739.69586848,8038,915,1113750296.177785,13986842147.289793,38594833.10826325,23022523.677616466,23783845.920919936,7604550.780458999,353388759.2535829,63298055.081812635,45012759.90076074,773473836.9254413,269763240.3550302,72484915.61798422,216549842.90331113,5288913255.894916,93652611.20466176,5941363865.975903
AM,117,17709,217515,327707,811058,17,2850202,188915,36865,1511860115.9195642,1237,6091,73391678.9347432,5028,1064,473028322.16777647,140,212,2436255.49562282,2522,261,93024299.67563927,39411,29165,2376700151.746359,4530440823.939704,163451410.92184353,18403879.465655454,14118348.851078661,3424432.068082952,97922449.90043345,34885400.10164709,478035647.48127496,1310077226.531535,1896610950.0718822,378524389.4320583,24035455.789011657,12421400.16036949,281109984.20749396,2592702179.6608152
AP,1,4140,3069,7562,22272,0,143331,9230,12424,87931432.73167482,155,2,185656.63393554007,97,10,4880448.792297229,0,1,542682.1033561201,15,3,2733184.224818095,5939,15,47980528.14578692,144253932.63186845,1051371.9065054837,504416.73798347346,2252938.3373717596,0,23308132.392991427,0,2167504.4447990973,33631625.57851442,4259992.42914141,1319806.8704770692,25038919.58087668,2258086.8147857008,22148407.280386277,55025212.97566711
BA,107,2443,14644,122863,456560,432,7052841,52061,34251,2070986259.4296985,1354,2194,128182953.23729204,994,321,189796575.56047234,28,136,16264954.866695428,9709,107,53711981.69407006,20010009,450201,4124766172.670717,6583708897.458945,126843446.43523338,16801501.173404846,8127899.249694994,2793631.2653186275,449348685.01276946,8386512.485714678,73173119.17534587,1546699758.7616076,1051568073.811785,241016555.6216626,52516451.926494405,365332039.2331784,126085655.73653635,1836518776.3296566
CE,62,2178,58361,87812,191348,23,1675225,39520,8113,593039520.3731431,297,851,12809864.080237271,656,39,35193800.79156082,10,77,362817.5236457849,139,62,17059995.649979644,74707,598125,2063925973.218757,2722391971.6373234,21377950.91045711,97369.47290158099,75450970.68108399,454833.9928328508,138350515.40961346,1430523.2392232113,63406568.05372199,615121060.01726,1165545506.247128,191486530.8060906,30182394.698419485,5899134.360370837,19472451.474060103,1412586017.5860689
DF,0,0,0,60,20,0,0,60,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES,98,1160,3927,40884,270491,16,5813561,148814,6521,2021125919.869912,513.5,795,92780350.10580717,1310,29,198874107.2766106,107,14,103480832.38509315,1884,132,111268802.04543047,505390,8948,3553396568.9050736,6080926580.587928,88544363.0428738,8320132.429594617,23000943.161686745,27726297.562087525,771678512.3731806,1166961.6011320609,99974361.96847561,1339387658.867067,1214182630.1171727,380849771.8382751,758417753.2682488,7084693632.083497,690226079.8321861,10128369867.139383
GO,17,55,305,2891,11224,2,230779,2509,632,94965846.32011954,25,23,4375615.038797538,19,3,514530.63743437326,6,6,518987.87163816503,13,4,9246852.099370796,17532,17140,649958291.4038317,759580123.3711921,2418978.371448831,359475.7476716037,8786635.78455244,1154464.3116882946,127076402.00820771,651711.804422194,1861717.762834239,247948359.15598884,320037001.7256682,37247394.46240654,2359670.758153503,12262164.618814446,43554889.79399401,415461121.35903674
MA,63,2594,48012,147001,340386,110,2000906,59639,23980,1203234770.435356,2772,7053,24431921.705309782,816,163,56575267.44239074,46,126,3243743.5713006337,134,42,11639279.501528952,119519,38625,2439377230.2712464,3738502212.9271317,23534896.01470937,4671239.021434236,19089568.923128456,319522.3058784872,174500351.3384341,4699314.655024273,95409450.70603569,1065328349.4355514,733038977.4529083,159607793.93126923,29224898.90092107,45189877.4255258,57640769.793769166,1024702317.5043936
