sigla_uf,dm_inst_comuni_valor
SP,168108815.83060163
RJ,142655337.6522788
RS,120970968.94012831
ES,111268802.04543047
AL,110922739.69586848
MG,96022878.01447435
AM,93024299.67563927
SC,89671628.53828831
PR,69981909.59235273
BA,53711981.69407006
PA,44465034.694459714
RO,41171106.66569259
PB,35177967.73756841
MS,34459708.87530372
PE,30859539.67388163
AC,24061953.124063503
CE,17059995.649979644
RN,14146854.700243618
MA,11639279.501528952
GO,9246852.099370796
SE,7168664.921951767
PI,3669574.3488141154
AP,2733184.224818095
MT,1661221.7469016032
TO,774455.568400166
RR,56951.188724027306
DF,0
pa,0
