sigla_uf,dm_inst_servicos_valor
ES,103480832.38509315
AL,78178124.24687721
MG,52453856.87751562
AC,32074135.786664616
RS,24397752.66270081
SC,19268403.447039675
BA,16264954.866695428
SP,11430402.627644569
PE,6662861.834472356
RJ,4295143.148384659
MA,3243743.5713006337
AM,2436255.49562282
RN,2242502.334586287
PA,1896802.3366446015
PR,1438896.1757041654
RR,1068623.41604699
AP,542682.1033561201
GO,518987.87163816503
CE,362817.5236457849
RO,297438.9907852923
MS,74488.567561244
SE,1756.7774497583598
DF,0
MT,0
PB,0
PI,0
TO,0
pa,0
