sigla_uf,dm_total_danos_materiais
RJ,18217886674.59992
MG,16684127399.959887
SC,14019040432.555971
AL,13986842147.289793
RS,13908779145.71665
SP,10049248890.090765
PE,6872141679.463822
BA,6583708897.458945
ES,6080926580.587928
PR,4903332457.501564
PA,4543021685.605193
AM,4530440823.939704
MA,3738502212.9271317
MT,2725744700.630103
CE,2722391971.6373234
AC,1968393154.4140642
PB,1514151660.9945395
PI,1235964022.304163
RN,1150378908.4234402
MS,1109967063.1574297
GO,759580123.3711921
RO,715159209.4845686
SE,313624341.3039409
RR,294021300.24178165
AP,144253932.63186845
TO,138848921.18545237
DF,0
pa,0
