sigla_uf,dm_uni_habita_valor
AL,12522386891.648623
RJ,9663091348.621902
RS,6984069607.186111
SC,5528470031.293689
PE,3783190666.2513256
MG,3678759398.982206
BA,2070986259.4296985
ES,2021125919.869912
SP,1711758239.429076
AM,1511860115.9195642
PA,1399265584.8308356
AC,1324601211.8051834
MA,1203234770.435356
PR,833473568.5076519
PB,758148928.1858083
CE,593039520.3731431
PI,534629996.069976
RN,387808959.29313165
RO,331710400.7169538
MS,100572938.19298773
GO,94965846.32011954
SE,88069725.19197156
AP,87931432.73167482
MT,50326803.751496285
RR,42183283.62495483
TO,20190988.889682826
DF,0
pa,0
