sigla_uf,pepl_distrib_energia_r
RJ,148602620.36304903
SC,119336516.12735875
CE,75450970.68108399
RS,72645718.12601528
MG,70084678.24902944
PR,56261029.89946469
PE,48660132.71997738
SP,41045071.51765725
AL,23783845.920919936
ES,23000943.161686745
MA,19089568.923128456
AM,14118348.851078661
MT,12432532.653431058
PA,11410764.69355272
AC,10670794.885356173
PI,9576931.804797664
GO,8786635.78455244
BA,8127899.249694994
PB,4409979.99700581
MS,4039218.6454819986
TO,3449139.494805728
AP,2252938.3373717596
RN,2007228.397688123
RO,1563824.7526619956
SE,270141.0202147339
RR,21372.4683209397
DF,0
pa,0
