sigla_uf,pepl_ensino_r
AM,478035647.48127496
RS,241237682.30430368
PE,179257202.9846069
SC,172062539.9123977
SP,141169677.0719586
MG,104775341.13045669
PA,104139092.75914277
PR,102125664.7724563
ES,99974361.96847561
RJ,98849553.77531044
MA,95409450.70603569
BA,73173119.17534587
CE,63406568.05372199
PI,53920117.92238666
AL,45012759.90076074
RO,35759409.817332074
RN,34459540.88102342
MT,33920731.2189185
AC,28048693.5336416
MS,16809776.579805773
PB,13777370.788666481
RR,7452121.030973673
TO,4713097.990540005
SE,3379266.7252715663
AP,2167504.4447990973
GO,1861717.762834239
DF,0
pa,0
