sigla_uf,pepl_seguranca_publica_r
SC,87761226.95318735
AL,63298055.081812635
AM,34885400.10164709
MG,28215429.33623525
SP,27293186.00338322
RJ,16023050.785454296
BA,8386512.485714678
RS,8376890.766775934
PE,8203856.379374631
AC,4928298.4249391705
PR,4753348.822007232
MA,4699314.655024273
PA,3925969.3137102355
MS,3269947.230184431
TO,2050261.6474674046
CE,1430523.2392232113
ES,1166961.6011320609
PI,705254.0105388467
GO,651711.804422194
RN,545638.7180904677
MT,322700.42398604914
RR,110490.66347738601
RO,7652.418837737159
SE,2507.191317505281
AP,0
DF,0
PB,0
pa,0
