sigla_uf,pepl_sis_cont_pragas_r
RJ,26087448.578498527
AL,23022523.677616466
AM,18403879.465655454
MG,17006503.58519731
BA,16801501.173404846
SP,14416379.335255263
AC,14336205.385207567
PA,9740650.970674258
ES,8320132.429594617
RS,5872858.827248377
MA,4671239.021434236
SC,4426465.047203647
MT,3615476.270351676
PE,3490253.15640585
RR,3296578.294958135
RO,3047776.9294040035
PR,2627292.6102736504
MS,2575588.3815345583
TO,1836388.5844939693
PI,1647835.921090585
PB,1138913.894395525
RN,701634.27706231
AP,504416.73798347346
GO,359475.7476716037
CE,97369.47290158099
DF,0
SE,0
pa,0
