sigla_uf,pepl_sis_limp_e_rec_lixo_r
RJ,293690097.2815118
PA,242560375.86636266
MG,222355479.06347674
SP,176860807.61391392
SC,175465479.05511218
AM,163451410.92184353
RS,160348970.44276437
BA,126843446.43523338
PE,89627843.68008222
ES,88544363.0428738
PR,62282601.11811567
AL,38594833.10826325
PB,26403734.817785855
MA,23534896.01470937
CE,21377950.91045711
AC,18932156.102225356
MS,18719542.438344248
MT,16755717.158814566
RO,16700457.131531188
PI,16121719.357803958
RN,8839171.598731285
SE,7039545.725060195
TO,4871912.538686898
GO,2418978.371448831
AP,1051371.9065054837
RR,326548.968541831
DF,0
pa,0
