sigla_uf,pepl_tran_loc_reg_l_curso_r
RS,2277531466.524213
PR,1765666263.046121
SC,1624720278.50188
MG,1538710676.5472383
RJ,1449306824.7245913
MT,1112957702.804692
SP,1070046282.3310845
ES,771678512.3731806
PA,666792813.2846866
BA,449348685.01276946
MS,422025249.5322071
AL,353388759.2535829
PI,175127899.15111837
MA,174500351.3384341
PE,147352276.75978437
CE,138350515.40961346
GO,127076402.00820771
RO,117454856.86435305
AM,97922449.90043345
RR,79955931.9741734
AC,56292178.630774476
RN,47547075.036045045
TO,47377074.65784324
PB,47247429.28503755
AP,23308132.392991427
SE,12241492.718964346
DF,0
pa,0
