sigla_uf,pepr_agricultura_r
RS,21968613617.35718
MT,12861265262.332119
SC,7643861020.767272
PR,4028797502.1857862
MG,2687462653.8108225
AM,1896610950.0718822
PE,1813657136.3096101
PI,1397788969.1119773
ES,1214182630.1171727
CE,1165545506.247128
SP,1147507027.2970347
PA,1079122778.7175236
BA,1051568073.811785
RJ,940586391.5107296
TO,753947319.8570552
MA,733038977.4529083
MS,626753691.1934159
RO,340548191.0432714
RN,335932811.47833735
GO,320037001.7256682
AL,269763240.3550302
PB,230513026.59359986
AC,163794483.55904046
RR,39393498.6140835
SE,31876002.436703578
AP,4259992.42914141
DF,0
pa,0
