sigla_uf,pepr_comercio_r
SC,14598990054.320965
SP,13253451128.650259
ES,7084693632.083497
AL,5288913255.894916
RJ,1402710652.1879237
MG,1228102591.65562
RS,995152268.2419084
BA,365332039.2331784
PE,227959329.61321285
PA,159893048.78524265
RN,56021363.16641153
MA,45189877.4255258
MT,42596459.96492151
AC,19767476.047718126
AM,12421400.16036949
GO,12262164.618814446
PR,12168755.973749826
CE,5899134.360370837
MS,4092932.3298341236
RO,3715085.199813977
PI,3386978.3984599393
AP,2258086.8147857008
TO,1264889.1503538846
SE,848790.3556090613
RR,253982.5310880913
PB,90708.04681717529
DF,0
pa,0
