sigla_uf,pepr_industria_r
SC,3215439872.48153
RS,1690571743.6564682
ES,758417753.2682488
RO,616583411.151546
SP,561529275.3593854
MG,556833976.6961608
PE,313718235.7146475
RJ,266054992.7637625
PR,230973260.602804
AL,216549842.90331113
MT,205027771.6784091
PA,176961218.79119855
MS,94917007.04901871
BA,52516451.926494405
RN,39462707.35474623
CE,30182394.698419485
MA,29224898.90092107
AP,25038919.58087668
AM,24035455.789011657
PI,13613511.684099263
SE,7097240.516250489
AC,5578843.033663556
PB,4135070.7224927815
RR,3201656.520571693
GO,2359670.758153503
TO,2284982.57157761
DF,0
pa,0
