sigla_uf,pepr_pecuaria_r
RS,2741999799.862971
MG,1423031305.1659706
PA,1072940285.8539761
MS,1009121902.2531458
SC,824938855.3843807
MT,787556609.6892322
PR,460386483.06255245
PE,403419054.76549613
ES,380849771.8382751
AM,378524389.4320583
BA,241016555.6216626
RJ,204934948.16659826
CE,191486530.8060906
SP,184709566.62380078
MA,159607793.93126923
PI,88453374.43269227
RO,87063209.59763071
AL,72484915.61798422
RR,58149657.23599013
RN,45542726.93883188
AC,43212407.54123983
GO,37247394.46240654
TO,36566672.05766876
PB,3797597.281530927
SE,1375054.6896947152
AP,1319806.8704770692
DF,0
pa,0
