sigla_uf,pepr_servicos_r
SC,3344521901.782285
RJ,2491395253.99302
MG,1268149827.9866977
ES,690226079.8321861
SP,667891020.718228
RS,560727413.6996492
AM,281109984.20749396
PE,242116682.48153678
PR,176007683.50295648
PA,129432789.71262966
BA,126085655.73653635
RO,95359373.30516034
AL,93652611.20466176
MT,61477603.85476673
MA,57640769.793769166
GO,43554889.79399401
RN,38014127.95858295
TO,27144198.28020699
PB,24790319.150228962
SE,24071982.465305366
AP,22148407.280386277
AC,19667549.882884324
CE,19472451.474060103
MS,12537171.4682923
RR,7609685.2519551115
PI,6928059.737396449
DF,0
pa,0
