sigla_uf,pepr_total_privado
SC,29627751704.73644
RS,27957064842.818176
SP,15815088018.648731
MT,13957923707.519442
ES,10128369867.139383
MG,7163580355.315271
AL,5941363865.975903
RJ,5305682238.622035
PR,4908333685.327847
PE,3000870438.884502
PA,2618350121.8605704
AM,2592702179.6608152
BA,1836518776.3296566
MS,1747422704.293707
PI,1510170893.364625
CE,1412586017.5860689
RO,1143269270.297422
MA,1024702317.5043936
TO,821208061.9168625
RN,514973736.89691013
GO,415461121.35903674
PB,263326721.79466966
AC,252020760.06454632
RR,108608480.15368865
SE,65269070.46356314
AP,55025212.97566711
DF,0
pa,0
