indicador,valor_sc,valor_brasil,participacao_sc_pct
dh_mortos,279,4549,6.13321609144867
dh_feridos,8667,110706,7.828843965096743
dh_enfermos,7059,570967,1.2363236404205498
dh_desabrigados,171789,2048713,8.385215498705772
dh_desalojados,963266,7765200,12.404909081543297
dh_desaparecidos,133,3015,4.411276948590381
dh_outros_afetados,11933019,94331971,12.650026150731017
dm_uni_habita_danificadas,375362,2268566,16.54622347333073
dm_uni_habita_destruidas,19347,358898,5.390668100685989
dm_uni_habita_valor,5528470031.293689,57325852437.55303,9.64393863539323
dm_inst_saude_danificadas,1339,27886.8,4.801554857495303
dm_inst_saude_destruidas,51150,223294,22.907019445215724
dm_inst_saude_valor,72846641.64490376,1366058462.2242887,5.332615232754461
dm_inst_ensino_danificadas,2013,20943.3,9.611665783329276
dm_inst_ensino_destruidas,180,3034,5.932762030323006
dm_inst_ensino_valor,242938217.9326685,2817485098.1282616,8.62252006564505
dm_inst_servicos_danificadas,127,1162,10.929432013769363
dm_inst_servicos_destruidas,267,1859,14.36256051640667
dm_inst_servicos_valor,19268403.447039675,362631463.04743,5.313494666214191
dm_inst_comuni_danificadas,4408,122475,3.5991018575219433
dm_inst_comuni_destruidas,247,5278,4.679802955665025
dm_inst_comuni_valor,89671628.53828831,1334691706.4008348,6.718527440325468
dm_obras_de_infra_danificadas,755584.5,27508924.35,2.7466886396086947
dm_obras_de_infra_destruidas,153046,6083387,2.5158024633316933
dm_obras_de_infra_valor,8065845509.699381,75703759170.12329,10.654484794570928
dm_total_danos_materiais,14019040432.555971,138910478337.47714,10.092140348474867
pepl_sis_limp_e_rec_lixo_r,175465479.05511218,2023719410.6701996,8.670445029580602
pepl_sis_cont_pragas_r,4426465.047203647,188044787.7755175,2.353941898399138
pepl_distrib_energia_r,119336516.12735875,791098846.7253858,15.084905839685042
pepl_telecomunicacoes_r,19515575.91232766,170926019.8226903,11.4175571001841
pepl_tran_loc_reg_l_curso_r,1624720278.50188,14793927580.06402,10.982345761184597
pepl_seguranca_publica_r,87761226.95318735,311014188.0579433,28.217756720743896
pepl_ensino_r,172062539.9123977,2234898010.692441,7.698898969402519
pepl_total_publico,2746567031.708314,29321333608.822506,9.367128618194563
pepr_agricultura_r,7643861020.767272,64746427756.38628,11.805842091440045
pepr_pecuaria_r,824938855.3843807,10939736669.183626,7.54075605593111
pepr_industria_r,3215439872.48153,9142310166.173769,35.170977729223694
pepr_comercio_r,14598990054.320965,44827436085.211365,32.56708687637211
pepr_servicos_r,3344521901.782285,10531733494.55487,31.756613510126076
pepr_total_privado,29627751704.73644,140187644171.50992,21.13435308784341
