sigla_uf,ocorrencias,posicao,pct_total
SC,4567,1,16.502854665028547
MG,4483,2,16.199320661993205
RS,3622,3,13.088097130880971
SP,1940,4,7.010190070101901
BA,1325,5,4.787887547878875
RJ,1268,6,4.58191804581918
PA,1250,7,4.51687504516875
PR,1186,8,4.28561104285611
ES,1120,9,4.0471200404712
PE,947,10,3.4219845342198454
MT,839,11,3.031726530317265
MS,823,12,2.973910529739105
AM,723,13,2.612560526125605
MA,631,14,2.2801185228011853
CE,465,15,1.6802775168027753
RN,457,16,1.6513695165136952
PI,410,17,1.48153501481535
AL,363,18,1.3117005131170052
PB,320,19,1.1563200115632002
TO,239,20,0.8636265086362651
GO,212,21,0.76606200766062
SE,146,22,0.5275710052757101
AC,111,23,0.401098504010985
RO,101,24,0.36496350364963503
RR,73,25,0.26378550263785505
AP,51,26,0.184288501842885
DF,2,27,0.007227000072270001
