regiao_costeira,nome_municipio,n_eventos
Região Norte,Araquari,31
Região Norte,Balneário Barra do Sul,19
Região Norte,Barra Velha,26
Região Norte,Garuva,26
Região Norte,Itapoá,26
Região Norte,Joinville,44
Região Norte,São Francisco do Sul,19
Região Centro-Norte,Balneário Camboriú,32
Região Centro-Norte,Balneário Piçarras,20
Região Centro-Norte,Bombinhas,10
Região Centro-Norte,Itajaí,30
Região Centro-Norte,Itapema,15
Região Centro-Norte,Navegantes,17
Região Centro-Norte,Penha,20
Região Centro-Norte,Porto Belo,26
Região Central,Biguaçu,29
Região Central,Florianópolis,36
Região Central,Governador Celso Ramos,16
Região Central,Palhoça,20
Região Central,São José,17
Região Central,Tijucas,14
Região Centro-Sul,Garopaba,12
Região Centro-Sul,Imaruí,13
Região Centro-Sul,Imbituba,12
Região Centro-Sul,Jaguaruna,16
Região Centro-Sul,Laguna,12
Região Centro-Sul,Pescaria Brava,6
Região Sul,Araranguá,29
Região Sul,Balneário Arroio do Silva,7
Região Sul,Balneário Gaivota,14
Região Sul,Balneário Rincão,6
Região Sul,Passo de Torres,10
Região Sul,Santa Rosa do Sul,22
Região Sul,Sombrio,16
Região Sul,São João do Sul,23
