nome_municipio,n_eventos
Balneário Camboriú,65
Florianópolis,63
Joinville,57
Itapoá,54
Barra Velha,48
Porto Belo,47
Biguaçu,46
Garuva,46
Araquari,44
Balneário Barra do Sul,44
Itajaí,44
Araranguá,43
Santa Rosa do Sul,35
São João do Sul,35
Balneário Piçarras,34
São Francisco do Sul,34
Palhoça,29
Navegantes,27
Penha,27
Sombrio,27
Garopaba,22
Governador Celso Ramos,22
Itapema,22
Tijucas,22
Imaruí,21
Jaguaruna,21
São José,21
Balneário Gaivota,20
Imbituba,19
Laguna,19
Bombinhas,16
Passo de Torres,15
Balneário Arroio do Silva,14
Pescaria Brava,12
Balneário Rincão,9
