nome_municipio,n_eventos_total
Florianópolis,245
Porto Belo,189
Balneário Camboriú,178
Itapoá,161
Balneário Barra do Sul,152
Joinville,143
Barra Velha,141
São Francisco do Sul,120
Itajaí,112
Balneário Piçarras,106
Garuva,96
Araquari,94
Biguaçu,86
Araranguá,79
Itapema,71
Garopaba,69
Santa Rosa do Sul,65
São João do Sul,65
Navegantes,61
Penha,55
Governador Celso Ramos,49
Sombrio,47
Laguna,46
Palhoça,43
Tijucas,42
Jaguaruna,40
Imbituba,39
Imaruí,38
Bombinhas,36
São José,33
Balneário Arroio do Silva,32
Passo de Torres,28
Pescaria Brava,28
Balneário Gaivota,26
Balneário Rincão,18
